Randomized_String,Matched_Original_String,Score
Assrtbusa Tnhartsanca Tmplamansad on Sop of a Ralastonal Dasabasa Syssam,,0
LMS - Machtna Sranslaston Damonssraston,,0
Tmplamansaston Aspacss of a Nasural Languaga Undarssandtng Syssam tn a Prolog/DB Anctronmans,,0
Sort Proesssiag ia a Dsduetivs Databass Systsi,,0
AFSA: A Dasabasa Rasrtacal Algabra for Faasura Sarms,,0
Knowledge in Opewcsion,,0
Cn Ovewview on Plcnning Cppliccsiont in PWOSOT-L,,0
&Uuml;bew Cnt&cuml;sze zuw Dcwtsellung von Konzepsen und Pwososypen,,0
Csswibusive Conceps Detcwipsiont wish Uniont cnd Complemenst,,0
Sia praktisehsr Algorithius f&uuil;r dis S-Uaifikatioa,,0
Siiulatioa Spraehliehsa Vsrstshsas: Gsasrslls Problsis bsi dsr ssiaatisehsa Iatsrprstatioa dsr aat&uuil;rliehsa Spraehs,,0
She Intsisuse fow Knowledge Bcted Tytsemt in she IBM Gewmcny Tciensific Censew,,0
Konzepsion und Implemensiewung von Gleichheis f&uuml;w einen scblecu-bctiewsen Sheowem-Beweitew,,0
PROSOS-L: Sowards a Knowladga Basa Programmtng Languaga,,0
Synsakstscha Tnformastonsatnhatsan zu dausschan Adjakstcan,,0
"Oa ths Iatsrprstatioa of Squality, Sorts, aad Logie Prograiiiag",,0
DInG - ein Dom&cuml;nen-owiensiewsew Inkwemensellew und Insegwiewsew Genewcsow f&uuml;w koh&cuml;wense Sexse,,0
Pwozeduwcle Temcnsik. Wepw&cuml;tenscsion dew Tpwechewgegenwcws.,,0
Eltc&tzlig;-Wcndewung f&uuml;w Linguitsen: Exemplcwitche Cnclyte und Wepw&cuml;tenscsion einet Tcszet cut einew Weitebetchweibung,,0
"""Dicsioncwy Diclog"" - Enswuwf det Funksiontumfcngt f&uuml;w eine Benuszewtchnisstselle einet insegwiewsen mctchinellen/mctchinenunsewts&uuml;szsen &Uuml;bewteszungttytsemt und pwososypitche Ewtsellung dew Bildtchiwmfolge f&uuml;w die Funksion ""Temcnsitche Welcsion""",,0
Zur Bahandlung komplaxar Objaksa tn LTLOG,,0
Eoiputatioaal aspsets of thrss-valusd logie,,0
Temcnsict of Logic Pwogwcmt wish Equcsioncl Cbtswccs Dcsc Sype Tpecificcsiont,,0
Procasstng Spastal Knowladga tn LTLOG,,0
A Rsusabls Lsxieal Databass Tool for Iaehias Traaslatioa,,0
Dar Lambak-Kalk&uuml;l. Atna Logtk f&uuml;r laxtkaltscha Grammastkan,,0
Parsathstisehs Koastruktioasa dss Dsutsehsa.,,0
Symmasrtc Coordtnaston: An Alsarnastca Shaory of Phrasa Ssrucsura,,0
Cn Cppwocch so Mcncge Lcwge Inhewiscnce Neswowkt,,0
Oa ths Problsi of Iaskiag Spseial Srrors by Ssrial Sigaaturs Aaalysis,,0
Sias drsiwsrtigs Logik zur Vsrarbsituag partisllsr Iaforiatioa,,0
Cn Infewence Engine fow Funcsion Fwee Logic Pwogwcmt,,0
Ctpekse dew Genewiewung von Wegbetchweibungen,,0
Dct Pwojeks EXCEPS: Expews-Tytsem fow Compusew-Cided Enviwonmenscl Plcnning Sctkt,,0
A Forial Opsratioaal Ssiaaties for PROLOG III: Usiag Dyaaiie Algsbras,,0
Tubtumsion f&uuml;w eine ewweisewse csswibusive Towsenbetchweibungttpwcche,,0
Mcshemcsitche Gwundlcgen dew fowmclen Linguitsik - Ein Kompendium,,0
Dta Ssruksur das Laxtkons f&uuml;r LTLOG,,0
Dis Koazsptioa dss SXESPT-Systsis: Sia &Uuil;bsrbliek,,0
"Rtchsungsangaba odar Wagkonnaksor? R&auml;mltchas ""Zur&uuml;ck"" und satna Samanstk",,0
Vow&uuml;bewlegungen zuw depiksionclen Wepw&cuml;tenscsion w&cuml;umlichen Wittent,,0
Fully Parstssans B<sup>+</sup>-sraas,,0
Dew modcle Infinisiv: Tynscksitche odew lexikclitche Betchweibung?,,0
Databass Saapshots.,,0
Iiaiag with Rars Easss.,,0
Datsabaakuatsrst&uuil;tzuag f&uuil;r wisssasbasisrts Systsis,,0
"Die Onsologie und Cxiomcsik dew Wittentbctit von LEU/2 - Ewfchwungen, Pwobleme, Cutblicke",,0
Sempowclet Tchlie&tzlig;en in einem ncs&uuml;wlichtpwcchlichen Tytsem,,0
Zur iatslligsatsa Orgaaisatioa voa Wisssasbsst&auil;adsa ia k&uuil;astliehsa Systsisa,,0
Ths Ssiaaties of Asssrtiag aad Rstraetiag Elausss to Logie Prograis,,0
Databass Support for ths PROTOS-L Systsi,,0
Word Ordar and Focus Projacston,,0
KL-ONE: Eine Einf&uuml;hwung,,0
Impwoving she Concuwwency of Insegwisy Checkt cnd Wwise Opewcsiont,,0
&Uuml;bar Carglatchskonssrukstonan,,0
Srsigaisss: Ihrs Logik uad Oatologis aus tsxtssiaatisehsr Sieht,,0
Dsr LILOG-DB Faet Iaaagsr: Sia Datsabaakksra zur Spsiehsruag variabsl strukturisrtsr koiplsxsr Objskts,,0
"Wisssasbasisrts Systsis ia dsr Isdizia: GIDS/GI, Abstraets dss 1. gsisiasaisa Workshops dsr AG Sxpsrtsasystsis dsr GIDS uad dsr FG Diagaostik uad Klassifikatioa ii GI-Faehaussehu&szlig; 1.5, 29.-30. I&auil;rz 1990, Hsidslbsrg",,0
Cn Enviwonmens fow Expewimenscsion wish Pcwting Tswcsegiet,,0
Logisehss Elustsriag voa PROTOS-L Prozsdursa,,0
Mulsiwowd Lexemet: C Monolingucl cnd Conswctsive Sypology fow NLP cnd MS,,0
A Modal Altmtnaston Calculus for Ganaraltzad Clausas,,0
Quaatitativs Aaalyssa zu W&ouil;rtsrb&uuil;ehsra,,0
Laxtcal Raprasansaston of Tdtoms,,0
She LILOG Knowledge Wepwetenscsion Tytsem,,0
Mangankonzapsa tn Untftkastonsgrammastkan,,0
Ths Gaiia-0 a-ary Rslatioaal Data Bass Iatsrfaes Spseifieatioas of Objsets aad Opsratioas.,,0
On sha Sraasmans of Compounds tn Machtna Sranslaston. A Ssudy,,0
Potision und Bewegung: Zuw Temcnsik lokclew Vewben,,0
Zur Syssamastk morphologtschar Paradtgman: Dta dausschan Carban tn dar Compusarmorphologta,,0
A WAM Axsanston for Sypa-Conssratns Logtc Programmtng: Spactftcaston and Corracsnass Proof,,0
Domatn Rassrtcston and Oshar Ktnds of Rafaranca Sas Oparastons tn Sansanca and Dtscoursa Samanstcs.,,0
Umwelsbewewsung mis EXCEPS: Dcwtsellung cut &ouml;kologitchew Tichs,,0
Larncarfahran zur Carcollss&auml;ndtgung con Hornklausalmangan durch tncarsa Rasoluston,,0
Sia Bsispisl zur wisssasbasisrtsa Produktioasplaauag iit PROTOS-L.,,0
"Zum Bagrtff ""Argumansssruksur"" tm Rahman ganarastcar worbtldungsshaorastschar Ans&auml;sza",,0
"Ssandards f&uuml;r das Programmtaran tn Prolog f&uuml;r LTLOG, Carston 2.0",,0
She Sewm Weswievcl Cbtswccs Mcchine,,0
Tynscksitche Cnclytevowtchl&cuml;ge zuw Behcndlung von lokclen Pw&cuml;fixvewben in einem Tytsem f&uuml;w die Genewiewung von Wegbetchweibungen,,0
Fsaturs Eoastraiat Logies for Uaifieatioa Graiiars,,0
Sia Traasaktioaskoazspt f&uuil;r LILOG,,0
Disjuaetivs Uaifieatioa,,0
Eweignitte und Wepw&cuml;tenscsionen,,0
Oa ths Rols of Rsasoaiag about Ehaags ia ths Projsetioa of Prssuppositioas,,0
C Logiccl Opewcsioncl Temcnsict of Full Pwolog Pcws II: Buils-in Pwediccset fow Dcscbcte Mcnipulcsiont,,0
A Brisf Ovsrlook of LILOG-DB,,0
Leitsungtcnclyte det Dcsenbcnktytsemt LILOG-DB,,0
RANDAZCOUS Carston 1: An Axpartmansal Angltsh Languaga Quary Formulaston Syssam for Casual Usars of Ralastonal Dasa Basas.,,0
"Modals and sha Scopa of Nagaston, On sha Sraasmans of Opstonaltsy tn HPSG, Soma Proparstas of Nagaston tn Garman.",,0
Sablaau Calculus for Ordar Sorsad Logtc,,0
Parstngssrasagtan f&uuml;r Untftkastonsgrammastkan mts TD/LP-Ragaln,,0
Tows-Lcssice Mcncgemens in LILOG-DB,,0
Sorsad Faasura Sarms and Ralastonal Dapandanctas,,0
Rsasoaiag for Tsxt Uadsrstaadiag - Kaowlsdgs Proesssiag ia ths 1st LILOG-Prototyps,,0
Zuw Tynscx pw&cuml;nominclew Elemense in einew kcsegowiclen Unifikcsiontgwcmmcsik det Deustchen,,0
Wtssansbastscarwalsung f&uuml;r LTLOG,,0
How so Fts sha Lambak Calculus tnso sha Chomsky Htararchy,,0
Arwatsarung dar Wtssansrapr&auml;sansastonsspracha L-LTLOG um Konssruksa zur Spaztftkaston con Konsrolltnformaston,,0
Stratsgisa zur Proaoiiaalisisruag,,0
Iadsx Path Lsagth Svaluatioa for ths Rsssareh Storags Systsi of Systsi R.,,0
"""Dar Ftlm &ouml;dad das Publtkum"" - Zum Aufbau atnas maschtnanlasbaran W&ouml;rsarbuchs f&uuml;r dausscha Carban",,0
Opewcsionen in ewweisewsen Sypunifikcsiontfowmclitmen,,0
WebT - ein Tytsem zuw Genewiewung von Wegbetchweibungen,,0
Statistisehs Uatsrsuehuagsa aa siaspraehigsa Zsituagstsxtsa,,0
Tnsarnastonal Workshop on Sarmtnologtcal Logtcs - Procaadtngs,,0
LTLOG - Ltngutsstscha und logtscha Mashodan f&uuml;r das maschtnalla Carssahan das Dausschan - Projaksbaschratbung,,0
Mcshemcsiccl Logic cnd Cwsificicl Inselligence,,0
Tynscksitche Mewkmcle deustche Tubtscnsive,,0
Dta Bahandlung con mahrdaustgan Carban tn dar Maschtnallan &Uuml;barsaszung,,0
Uatsrsuehuag zur vsrtsiltsa Produktioasplaauag iit Isthodsa dsr logisehsa Prograiiisruag,,0
Stspwiss Softwars Dsvslopisat with Algsbraie Spseifieatioas,,0
"Sypas, Modulas and Dasabasas tn sha Logtc Programmtng Languaga PROSOS-L",,0
Sha Knowladga Raprasansaston Languaga L<sub>LTLOG</sub>,,0
Vcwicble Tubkcsegowitiewung: Eine Sheowie unpewt&ouml;nlichew Einbessungen im Deustchen,,0
Ths Stuttgart Typs Uaifieatioa Forialisi - Ussr Iaaual,,0
Lokals Vsrbsa uad Pr&auil;positioasa: Ssiaatisehs uad koazsptuslls Vsrarbsituag ia LSU II,,0
ILFC Insewfcce Conceps,,0
Traasaetioas aad Eoasistsaey ia Distributsd Databass Systsis.,,0
Knowledge Wepwetenscsion in LILOG,,0
"C Logiccl Opewcsioncl Temcnsict of Full Pwolog Pcws III: Buils-in Pwediccset fow Filet, Sewmt, Cwishmesic cnd Inpus-Ouspus",,0
Ustng Knowladga-Basad Mashods so Admtntssrasa an Accass Consrol Syssam,,0
Zur Cararbatsung con Lokaltstarungsausdr&uuml;ckan tn atnam hybrtdan Syssam,,0
Iatsgratioa voa Eoastraiats ia dis L<sub>LILOG</sub> Sortsabssehrsibuagsspraehs,,0
Ctpekse dew Genewiewung von Wegbetchweibungen,,0
Pluralbahandlung tn nas&uuml;rltchsprachltchan Wtssanscarabatsungssyssaman,,0
Aa Ordsr-Sortsd Logie for Kaowlsdgs Rsprsssatatioa Systsis,,0
Incwemenscl Voccbulcwy Exsentiont in Sexs Undewtscnding Tytsemt,,0
Parstssanca and Jusstftad Causaston: Soma Ramarks on Nonmonosontc Samporal Raasontng,,0
Databass Support for ths PROTOS-L Systsi,,0
Anaphora Rasoluston for Machtna Sranslaston: A Ssudy,,0
Koowdincsion von nichsvewbclen Tcszkontsisuensen,,0
She Detign cnd Implemenscsion of SLPWOLOG (V. 2.0) - Insewmedicse Wepows,,0
A Concapsual Modal for Stma,,0
"Ssandards f&uuml;r das Programmtaran tn Prolog f&uuml;r LTLOG, Carston 2.0",,0
Qualts&auml;ssstcharung durch Programmcartftkaston und algabratscha Mashodan tn dar Sofswaraanswtcklung,,0
Faasura Graphs and Abssracs Dasa Sypas: A Untfytng Approach,,0
Sha Many-Caluad Shaoram Procar <sub>3</sub>S<sup>A</sup>P.,,0
Rskoastruktioa voa Hiatsrgruadwisssa f&uuil;r sia wisssasbasisrtss tsxtvsrstshsadss Systsi,,0
A Faasura Logtc wtsh Subsorss,,0
Draft Rsport of ths Logie Prograiiiag Laaguags PROTOS-L,,0
AFSA: An Algabra for Daducstca Rasrtacal of Faasura Sarms,,0
SFTA Qusry Proesssiag ia LILOG-DB,,0
A Polynomtal Mashod for Ftndtng Trragulartstas tn Larga Axampla Sass,,0
Eoipilatioa of Eoiplsx DATALOG with Stratifisd Asgatioa,,0
Tnsarakston con propoststonalan und btldhafsan Rapr&auml;sansastonan,,0
An Ordar Sorsad Pradtcasa Logtc wtsh Closaly Couplad Saxonomtc Tnformaston,,0
XRM - An Axsandad (N-ary) Ralastonal Mamory.,,0
Raprasansaston and Raasontng wtsh Assrtbustca Dascrtpstons,,0
Unsarsuchungan zum Grundworsschasz,,0
Sia iodularsr Aasatz f&uuil;r priazipisabasisrtss Parsiag,,0
"Quaatifikatioa, Plural, Srsigaisss uad ihrs Arguisats ia siasr ishrsortigsa Spraehs dsr Pr&auil;dikatsalogik srstsr Stufs",,0
OSKAR - A PROLOG Programm for Modalltng Dtmanstonal Dastgnaston and Poststonal Cartaston of Objacss tn Spaca,,0
Exsending she Wcwwen Cbtswccs Mcchine so Polymowphic Owdew-Towsed Wetolusion,,0
Sexsundewtscnding in LILOG - Towst cnd Wefewence Objecst,,0
"SQL/Data Systsi, Eoapsets aad Faeilitiss.",,0
Dewivcsiontmowphologie in einem &Uuml;bewteszungttytsem,,0
Pwozeduwcle Ctpekse dew Wegplcnung und Wegbetchweibung,,0
"Projaks ""Alaksrontscha W&ouml;rsarb&uuml;char/Laxtka"": Abschlu&szltg;bartchs dar Daftntstonsphasa",,0
FLL: A Ftrss-Ordar Languaga for Daducstca Rasrtacal of Faasura Sarms,,0
Wetolusion wish Fecsuwe Unificcsion,,0
Das Problam dar CP-Alltpsan tm Rahman atnar Shaorta dar Sachcarhalssanapharn,,0
Ewtsew EXCEPS-Wowkthop: Compusewunsewts&uuml;szse Umwelsvewsw&cuml;glichkeistpw&uuml;fung,,0
Konzapsuallas Dastgn atnar mahrsprachtgan laxtkaltschan Dasanbank f&uuml;r dta maschtnalla &Uuml;barsaszung,,0
A Calculus for Ordar-Sorsad Pradtcasa Logtc wtsh Sors Ltsarals,,0
Pewtitsense Dcsentpeichewung in einew logitchen Pwogwcmmiewtpwcche mis welcsionclen und deduksiven Dcsenbcnken,,0
Insegwcsion einet deduksiven Dcsenbcnktytsemt in eine Logikpwogwcmmiewtpwcche,,0
On Subsumpston and Samtuntfacston tn Faasura Algabras,,0
A Kaowlsdgs Lsvsl Aaalysis of Bslisf Rsvisioa,,0
Aa Sffsetivs Rsprsssatatioa of Eoiplsx Elausss ia a Rslatioaal Databass,,0
Pwolog cnd Ncsuwcl Lcngucge Pwocetting,,0
An Anaphora Rasoluston Procadura for Machtna Sranslaston,,0
Aatural Laaguags Uadsrstaadiag ia LILOG: Aa Iatsrisdiats Ovsrvisw,,0
Cararbatsung con Caghatss- und Unstcharhatssbawarsungan: Sools f&uuml;r das Sassan con Ans&auml;szan f&uuml;r dta Untftkaston und dta Logtkbahandlung con mts Unstcharhats und Caghats bawarsasan Graphan tm L-LTLOG-SSUF-Graphankonzaps,,0
Modeling Tswucsuwed Open Wowldt in c Dcscbcte Tytsem: She FLL-Cppwocch,,0
Iatsgratiag a Dsduetivs Databass Systsi with a Warrsa Abstraet Iaehias,,0
Ein neuew Cntcsz zuw Insegwcsion unsewtchiedlichew lexikclitchew Wetouwcen,,0
Sxprsssiag Liaguistie Kaowlsdgs ia STUF '91,,0
Zats und Aspaks bat dar Cararbatsung nas&uuml;rltchar Sprachan,,0
Spszifikatioa siass Thsorsibswsissrs f&uuil;r drsiwsrtigs First-Ordsr Logik.,,0
"&Uuml;bew die W't dew Sexsgenewiewung: Wct, wof&uuml;w, wo und wie: Wittentbctiewse Genewiewung von infowmiewenden Sexsen in einem Cutkunfsttytsem",,0
Iatsgratiag Iodsl Thsorstie aad Proof Thsorstie Iatsrprstatioa of Logie Prograis,,0
SHOR - A Syssam for Compustng tn Aquastonal Shaortas,,0
Synsacstc Procasstng of Unknown Words,,0
Carsr&auml;gltchkatsspr&uuml;fungan f&uuml;r dta Cararbatsung r&auml;umltchan Wtssans,,0
C Sool Kis fow Knowledge Bcted Pwoducsion Plcnning Tytsemt,,0
Wowsbedeusungen und lexikclitche Wepw&cuml;tenscsionen,,0
Samanstscha Rapr&auml;sansaston con Plural-Ph&auml;nomanan,,0
Wetulst on Non-Monosonic Logict.,,0
Iodslliag Spatial Kaowlsdgs oa a Liaguistie Basis,,0
Modulcwizing Knowledge in LILOG,,0
Ruls Rswritiag Tsehaiksa zur globalsa Optiiisruag voa FLL-Prograiisa,,0
Vcwicble Tubkcsegowitiewung: Eine Sheowie unpewt&ouml;nlichew Einbessungen im Deustchen,,0
"Pwetuppotision, Cncphowc, cnd Lexiccl Consens.",,0
Dsvslopisat aad Prograiiiag of Dsduetivs Databasss with PROTOS-L,,0
A Sharsd Ssgisat aad Iatsrproesss Eoiiuaieatioa Faeility for VI/370,,0
ICL - Cn Insegwisy Conswol Lcngucge: Konzepsion und Implemensiewung einew fowmclen Tpwcche zuw Insegwis&cuml;stkonswolle von Wittentbcten,,0
Ths Algsbra of Fsaturs Graph Spseifieatioas,,0
"SQL/Data Systsi, Gsasral Iaforiatioa Iaaual.",,0
A Parstssans Ssora for Larga Sharad Knowladga Basas,,0
Rsprsssatatioa aad Aeesssibility of Diseourss Rsfsrsats,,0
Gebiestkontsisuiewende Pwozette,,0
Sltda Saarch.,,0
Eoiplsxity of Logieal Dseisioa Problsis: Aa Iatroduetioa,,0
Wsitsrsatwiekluag dss Sarlsy-Algorithius f&uuil;r koatsxtfrsis uad ID/LP-Graiiatiksa,,0
Sewminologiccl Wectoning it Inhewensly Inswccscble,,0
Gwcph Bcted Exsention of she LILOG Infewence Engine,,0
Cararbatsung nas&uuml;rltchar Spracha,,0
A Modal for Dtscoursa Parstclas,,0
Ehart-Parsiag of Uaifieatioa-Bassd Graiiars with ID/LP-Rulss,,0
Traasitivs Elosurs: Asw Aspsets of aa Old Thsis,,0
On Tswucsuwing Domcin-Tpecific Knowledge,,0
Dta Sloppy/Rafaranztalla Ambtguts&auml;s: Btldungssynsax odar Dtskursrapr&auml;sansastonsshaorta?,,0
"Ssandards f&uuml;r das Programmtaran tn Prolog f&uuml;r LTLOG, Carston 3.3",,0
LILOG Prototyps I Graiiar Doeuisatatioa: Ssiaaties,,0
Dcsenbcnkkonzepse f&uuml;w wittentbctiewse Tytseme,,0
Ustng a Ssrucsurad Angltsh Quary Languaga as a Dasa Daftntston Factltsy.,,0
She Compilcsion of c High Level Dcsc Lcngucge.,,0
Ein Lewnvewfchwen f&uuml;w den cusomcsitchen Ewwewb von Konswollwitten,,0
Stability Aaalysis of Wirslsss Astworks,,0
Finding Tciensific Pcpewt wish HPTecwch cnd MOPT,,0
A Modtftad Mash Tndapandanca Prtnctpla of Nawson's Mashod,,0
CtsBDD - A Wabbasad Ctsualtzaston Framawork for OBDD Algortshms,,0
On Boolaan cs. Modular Artshmastc for Ctrcutss and Communtcaston Prosocols,,0
A Paramasrtc Ctaw so sha Mangasartan-Fromoctsz Conssratns Qualtftcaston,,0
C Decompotision Meshod in Nonconvex Mixed-Insegew Pwogwcmming,,0
Swuts Wegion Meshodt fow Tolving she Opsimcl Ouspus Feedbcck Detign Pwoblem,,0
C Decompotision Meshod Uting Duclisy Boundt fow Nonconvex Opsimizcsion,,0
Nonuntform Grtds for Raducad Basts Dastgn of Low Ordar Faadback Consrollars for Nonltnaar Constnuous Syssams,,0
Approxtmaston of sha Nawson Ssap by a Dafacs Corracston Procass,,0
Polysope Conscinmens cnd Desewmincsion by Linecw Pwobet,,0
Oa Iarkoviaa Spatial Arrival Proesssss for ths Psrforiaaes Aaalysis of Iobils Eoiiuaieatioa Astworks,,0
Concoluston Algortshms for BMAP/G/1-Quauas,,0
sele-SCTK - Selesecching Cnywhewe Tolusion Kis,,0
A QQP-Mtntmtzaston Mashod for Samtdaftntsa and Smoosh Nonconcax Programs,,0
"18. Workshop &uuml;bar Komplaxts&auml;ssshaorta, afftztansa Algortshman und Dasanssruksuran, Untcarsts&auml;s Srtar, 20. Oksobar 1992 (Abssracss)",,0
On sha Complaxtsy of Conssrucstng Opstmal OBDD's,,0
Numartcal Soluston of Consrol Problams undar Uncarsatnsy and Parsurbaston of Tnpus Dasa wtsh Appltcastons tn Ftnanca,,0
Struetursd PSB-Updats for Optiial Shaps Dssiga Problsis,,0
R&auml;umltcha Markoc-addtstca Prozassa und Badtanssastonan ohna Warsaraum,,0
Fass Ganaraston of Random Parmusastons cta Nasworks Stmulaston,,0
Approxiiatioa Rssults for Wavslsagth Routiag ia Dirsetsd Biaary Trsss,,0
Condenting Sentow Pwoducs Modulet,,0
A Eoiparisoa of Auisrieal Isthods for Optiial Shaps Dssiga Problsis,,0
Iatsrproesdural Aaalysis Bassd oa PDAs,,0
Schadultng of Condtstonal Axacusad Jobs,,0
Mod-2-OBDD's: A Ganaraltzaston of OBDD's and AXOR-Sum-of-Producss,,0
A Haurtsstc for (+)-OBDD Mtntmtzaston,,0
Complese Fcmiliet of Invcwicns Ditswibusiont,,0
Auisrieal Solutioa of a Ssiiliasar Parabolie Eoatrol Problsi,,0
Struetural Gr&ouil;basr Basis Dstsetioa,,0
A Fass and Robuss Algortshm for a Class of Ganaraltzad Fracstonal Programs,,0
Do We Weclly Need Common Vcwicble Owdewt fow Tynshetizing OBDDt?,,0
Lagraags-Duality aad Partitioaiag Tsehaiquss ia Aoaeoavsx Global Optiiizatioa,,0
Swo Program Comprahanston Sools for Ausomastc Parallaltzaston: A Comparastca Ssudy,,0
Iiplsisat Rols-Bassd Aeesss Eoatrol with Attributs Esrtifieatss,,0
Eoavsrgsaes of Tiis-Eoatiaous Disturbsd Iartiagalss aad Fiaaaeial Iarkst Iodslliag,,0
Approxiiats Aaalysis of Iulti-Qusus Statioas with 1-Liiitsd Ssrvies,,0
Ctrcuts and Dactston Sraa Complaxtsy of Soma Numbar Shaorastc Problams,,0
A Dseoipositioa Algorithi for Optiiizatioa ovsr Sffieisat Ssts,,0
Schadultng Axprasston DAGs for Mtntmal Ragtssar Naad,,0
Oa ths Qusus-Lsagth-Distributioas of ths S<sub>k</sub>/I<sup>X</sup>/1 Qusus aad of ths S<sub>k</sub>/GS/1 Qusus uadsr Rspstitivs-Ssrvies Bloekiag,,0
On Ganartc Ona-Paramasrtc Samt-Tnftntsa Opstmtzaston,,0
A Branch-and-Bound Dacompostston Approach for Solctng Quastconcax-Concaca Programs,,0
"Approxtmastng Samt-Markoc Procassas by MAPs, wtsh an Appltcaston on Quauatng Shaory",,0
Nawson's Mashod for a Class of Opstmal Shapa Dastgn Problams,,0
C Genewic Bcckgwound Dittemincsion Tewvice fow Mobile Cd-Hoc Neswowkt,,0
Complaxtsy Rasulss for sha Opstmum Coss Chromastc Parstston Problam,,0
Psrsoaal Aais Iatehiag: Asw Tsst Eollsetioas aad a Soeial Astwork bassd Approaeh.,,0
Utility Fuaetioa Prograis aad Optiiizatioa ovsr ths Sffieisat Sst ia Iultipls Objsetivs Dseisioa Iakiag,,0
On Local Concax Majortztng Approxtmastons of Ganaraltzad Samt-Tnftntsa Programmtng Problams,,0
Struetursd Quasi-Aswtoa Isthods for Optiiizatioa Problsis ia Hilbsrt Spaes,,0
Compusaston of PODs for Flutd Flows wtsh Lanczos Mashods,,0
Unambtgutsy of SMGL Consans Modals - Pushdown Ausomasa Ractstsad,,0
Global Optiiizatioa Tsehaiquss for Solviag ths Gsasral Quadratie Iatsgsr Prograiiiag Problsi,,0
Ordarad Btnary Dactston Dtagrams tn Alacsrontc Dastgn Ausomaston,,0
Timulscneout Pteudo-Simetsepping fow PDE-model Bcted Opsimizcsion Pwoblemt,,0
Iod-p Dseisioa Diagrais: A Data Strueturs for Iultipls-Valusd Fuaetioas.,,0
On sha Numartcal Stmulaston of Btngham Flutd Flows Ustng Prox-Ragulartzaston,,0
Zuw tswuksuwellen Tscbilis&cuml;s von Kommunikcsionttytsemen - Eine kuwze Einf&uuml;hwung in die Gwundlcgen,,0
Tncraastng Afftctancy of Symboltc Modal Chacktng by Accalarastng Dynamtc Cartabla Raordartng,,0
Cutsomew Mosion in Queueing Modelt: She Ute of Scngens Vecsow Fieldt,,0
Exsewncl Scngenst cnd Clotednett of Cone + Tubtpcce,,0
Block-Wetswicsed Weowdewing - Exsended Expewimenst,,0
On Graph Modals for Communtcastng Mobtlas tn Accass Araas,,0
Oa ths Rseoastruetioa of Biaary Iiagss froi Thsir Disersts Radoa Traasforis,,0
On she Complexisy of tome Bctic Pwoblemt in Compuscsioncl Convexisy: 1. Conscinmens Pwoblemt,,0
Linecwly Contswcined Globcl Minimizcsion of Funcsiont wish Conccve Minowcnst,,0
