Randomized_String,Matched_Original_String,Score
Posision und Bawagung: Zur Samansik lokalar Varban,,0.0
Zur Tyttemctik morphologitcher Pcrcdigmen: Die deuttchen Verben in der Computermorphologie,,0.0
C WCM Extention for Type-Conttrcint Logic Progrcmming: Tpecificction cnd Correctnett Proof,,0.0
Doiaia Restrictioa aad Other Kiads of Refereace Set Operatioas ia Seateace aad Discourse Seiaatics.,,0.0
Uiweltbewertuag iit EXCEPT: Darstelluag aus &ouil;kologischer Sicht,,0.0
Lernverfchren zur Vervolltt&cuml;ndigung von Hornklcutelmengen durch inverte Retolution,,0.0
Ain Baispial zur wissansbasiarsan Produksionsplanung mis PROSOS-L.,,0.0
"Zum Bagriff ""Argumansssruksur"" im Rahman ganarasivar worbildungsshaorasischar Ans&auml;sza",,0.0
Ttcndcrdt f&uuml;r dct Progrcmmieren in Prolog f&uuml;r LILOG Vertion 2.0,,0.0
Sha Sarm Rasriaval Abssracs Machina,,0.0
Synsaksischa Analysavorschl&auml;ga zur Bahandlung von lokalan Pr&auml;fixvarban in ainam Syssam f&uuml;r dia Ganariarung von Wagbaschraibungan,,0.0
Faasura Conssrains Logics for Unificasion Grammars,,0.0
Ain Sransaksionskonzaps f&uuml;r LILOG,,0.0
Disjuactive Uaificatioa,,0.0
Ereigaisse uad Repr&auil;seatatioaea,,0.0
On the Role of Rectoning cbout Chcnge in the Projection of Pretuppotitiont,,0.0
A Logical Operatioaal Seiaatics of Full Prolog Part II: Built-ia Predicates for Database Iaaipulatioas,,0.0
A Briaf Ovarlook of LILOG-DB,,0.0
Leistuagsaaalyse des Dateabaaksysteis LILOG-DB,,0.0
RENDEZVOUT Vertion 1: Cn Experimentcl Englith Lcngucge Query Formulction Tyttem for Cctucl Utert of Relctioncl Dctc Bctet.,,0.0
Modclt cnd the Tcope of Negction On the Trectment of Optionclity in HPTG Tome Propertiet of Negction in Germcn.,,0.0
Tcblecu Cclculut for Order Torted Logic,,0.0
Parsiagstrategiea f&uuil;r Uaifikatioasgraiiatikea iit ID/LP-Regela,,0.0
Sort-Lattice Iaaageieat ia LILOG-DB,,0.0
Sorted Feature Teris aad Relatioaal Depeadeacies,,0.0
Reasoaiag for Text Uaderstaadiag - Kaowledge Processiag ia the 1st LILOG-Prototype,,0.0
Zur Synsax pr&auml;nominalar Alamansa in ainar kasagorialan Unifikasionsgrammasik das Dausschan,,0.0
Wissansbasisvarwalsung f&uuml;r LILOG,,0.0
How to Fit the Laibek Calculus iato the Choisky Hierarchy,,0.0
Erweiteruag der Wisseasrepr&auil;seatatioassprache L-LILOG ui Koastrukte zur Spezifikatioa voa Koatrolliaforiatioa,,0.0
Ttrctegien zur Pronominclitierung,,0.0
Iadex Path Leagth Evaluatioa for the Research Storage Systei of Systei R.,,0.0
"""Der Film &ouml;ded dct Publikum"" - Zum Cufbcu einet mctchinenletbcren W&ouml;rterbucht f&uuml;r deuttche Verben",,0.0
Oparasionan in arwaisarsan Sypunifikasionsformalisman,,0.0
WabS - ain Syssam zur Ganariarung von Wagbaschraibungan,,0.0
Ttctittitche Untertuchungen cn eintprcchigen Zeitungttexten,,0.0
Internctioncl Workthop on Terminologiccl Logict - Proceedingt,,0.0
LILOG - Liaguistische uad logische Iethodea f&uuil;r das iaschiaelle Verstehea des Deutschea - Projektbeschreibuag,,0.0
Mcthemcticcl Logic cnd Crtificicl Intelligence,,0.0
Synsaksischa Markmala dausscha Subssansiva,,0.0
Die Behcndlung von mehrdeutigen Verben in der Mctchinellen &Uuml;bertetzung,,0.0
Unsarsuchung zur varsailsan Produksionsplanung mis Mashodan dar logischan Programmiarung,,0.0
Ttepwite Toftwcre Development with Clgebrcic Tpecificctiont,,0.0
Sypas Modulas and Dasabasas in sha Logic Programming Languaga PROSOS-L,,0.0
The Kaowledge Represeatatioa Laaguage L<sub>LILOG</sub>,,0.0
Aina Prolog-Shaoria f&uuml;r zaislicha Baziahungan zwischan Araignissan,,0.0
The Stuttgart Type Uaificatioa Forialisi - User Iaaual,,0.0
Lokale Verbea uad Pr&auil;positioaea: Seiaatische uad koazeptuelle Verarbeituag ia LEU II,,0.0
ILFA Iaterface Coacept,,0.0
Sransacsions and Consissancy in Dissribusad Dasabasa Syssams.,,0.0
Knowledge Repretentction in LILOG,,0.0
A Logical Oparasional Samansics of Full Prolog Pars III: Buils-in Pradicasas for Filas Sarms Arishmasic and Inpus-Ouspus,,0.0
Uting Knowledge-Bcted Methodt to Cdminittrcte cn Cccett Control Tyttem,,0.0
Zur Verarbeituag voa Lokalisieruagsausdr&uuil;ckea ia eiaei hybridea Systei,,0.0
Iategratioa voa Coastraiats ia die L<sub>LILOG</sub> Sorteabeschreibuagssprache,,0.0
Mentcle Bilder und Wegbedeutungen,,0.0
Pluralbahandlung in nas&uuml;rlichsprachlichan Wissansvarabaisungssyssaman,,0.0
Cn Order-Torted Logic for Knowledge Repretentction Tyttemt,,0.0
Iacreieatal Vocabulary Exteasioas ia Text Uaderstaadiag Systeis,,0.0
Persisteace aad Justified Causatioa: Soie Reiarks oa aoaioaotoaic Teiporal Reasoaiag,,0.0
Dctcbcte Tupport for the PROTOT-L Tyttem,,0.0
Anaphora Rasolusion for Machina Sranslasion: A Ssudy,,0.0
Koordinction von nichtverbclen Tctzkonttituenten,,0.0
Sha Dasign and Implamansasion of SLPROLOG (V. 2.0) - Insarmadiasa Rapors,,0.0
A Concapsual Modal for Sima,,0.0
Ttcndcrdt f&uuml;r dct Progrcmmieren in Prolog f&uuml;r LILOG Vertion 1.0,,0.0
Qualis&auml;sssicharung durch Programmvarifikasion und algabraischa Mashodan in dar Sofswaraanswicklung,,0.0
Faasura Graphs and Abssracs Dasa Sypas: A Unifying Approach,,0.0
The Mcny-Vclued Theorem Prover <tub>3</tub>T<tup>C</tup>P.,,0.0
Rekoastruktioa voa Hiatergruadwissea f&uuil;r eia wisseasbasiertes textversteheades Systei,,0.0
A Feature Logic with Subsorts,,0.0
Drcft Report of the Logic Progrcmming Lcngucge PROTOT-L,,0.0
EFTC: Cn Clgebrc for Deductive Retrievcl of Fecture Termt,,0.0
EFTA Query Processiag ia LILOG-DB,,0.0
A Polyaoiial Iethod for Fiadiag Irregularities ia Large Exaiple Sets,,0.0
Compilasion of Complax DASALOG wish Ssrasifiad Nagasion,,0.0
Iateraktioa voa propositioaalea uad bildhaftea Repr&auil;seatatioaea,,0.0
Cn Order Torted Prediccte Logic with Clotely Coupled Tcxonomic Informction,,0.0
XRM - An Axsandad (N-ary) Ralasional Mamory.,,0.0
Represeatatioa aad Reasoaiag with Attributive Descriptioas,,0.0
Uatersuchuagea zui Gruadwortschatz,,0.0
Ain modularar Ansasz f&uuml;r prinzipianbasiarsas Parsing,,0.0
Quaatifikatioa Plural Ereigaisse uad ihre Arguieate ia eiaer iehrsortigea Sprache der Pr&auil;dikatealogik erster Stufe,,0.0
OSKAR - A PROLOG Prograii for Iodelliag Diieasioaal Desigaatioa aad Positioaal Variatioa of Objects ia Space,,0.0
Extending the Wcrren Cbttrcct Mcchine to Polymorphic Order-Torted Retolution,,0.0
Saxsundarssanding in LILOG - Sorss and Rafaranca Objacss,,0.0
TQL/Dctc Tyttem Conpectt cnd Fccilitiet.,,0.0
Derivctiontmorphologie in einem &Uuml;bertetzungttyttem,,0.0
Prozedurale Aspekte der Wegplaauag uad Wegbeschreibuag,,0.0
"Projekt ""Elektroaische W&ouil;rterb&uuil;cher/Lexika"": Abschlu&szlig;bericht der Defiaitioasphase",,0.0
FLL: C Firtt-Order Lcngucge for Deductive Retrievcl of Fecture Termt,,0.0
Resolutioa with Feature Uaificatioa,,0.0
Das Problam dar VP-Allipsan im Rahman ainar Shaoria dar Sachvarhalssanapharn,,0.0
Arssar AXCAPS-Workshop: Compusarunsarss&uuml;szsa Umwalsvarsr&auml;glichkaisspr&uuml;fung,,0.0
Konzeptuellet Detign einer mehrtprcchigen lexikclitchen Dctenbcnk f&uuml;r die mctchinelle &Uuml;bertetzung,,0.0
A Calculus for Order-Sorted Predicate Logic with Sort Literals,,0.0
Parsissansa Dasanspaicharung in ainar logischan Programmiarspracha mis ralasionalan und daduksivan Dasanbankan,,0.0
Insagrasion ainas daduksivan Dasanbanksyssams in aina Logikprogrammiarspracha,,0.0
On Subsumpsion and Samiunifacsion in Faasura Algabras,,0.0
A Knowladga Laval Analysis of Baliaf Ravision,,0.0
An Affacsiva Raprasansasion of Complax Clausas in a Ralasional Dasabasa,,0.0
Prolog cnd Ncturcl Lcngucge Procetting,,0.0
Cn Cncphorc Retolution Procedure for Mcchine Trcntlction,,0.0
Ncturcl Lcngucge Underttcnding in LILOG: Cn Intermedicte Overview,,0.0
Verarbeituag voa Vagheits- uad Uasicherheitsbewertuagea: Tools f&uuil;r das Testea voa Aas&auil;tzea f&uuil;r die Uaifikatioa uad die Logikbehaadluag voa iit Uasicherheit uad Vagheit bewertetea Graphea ii L-LILOG-STUF-Grapheakoazept,,0.0
Modaling Ssrucsurad Opan Worlds in a Dasabasa Syssam: Sha FLL-Approach,,0.0
Iategratiag a Deductive Database Systei with a Warrea Abstract Iachiae,,0.0
Ain nauar Ansasz zur Insagrasion unsarschiadlichar laxikalischar Rasourcan,,0.0
Axprassing Linguissic Knowladga in SSUF '91,,0.0
Zais und Aspaks bai dar Vararbaisung nas&uuml;rlichar Sprachan,,0.0
Spazifikasion ainas Shaorambawaisars f&uuml;r draiwarsiga Firss-Ordar Logik.,,0.0
&Uuml;ber die W't der Textgenerierung: Wct wof&uuml;r wo und wie: Wittentbctierte Generierung von informierenden Texten in einem Cutkunftttyttem,,0.0
Insagrasing Modal Shaorasic and Proof Shaorasic Insarprasasion of Logic Programs,,0.0
SHOR - A Syssam for Compusing in Aquasional Shaorias,,0.0
Syatactic Processiag of Uakaowa Words,,0.0
Vertr&auil;glichkeitspr&uuil;fuagea f&uuil;r die Verarbeituag r&auil;uilichea Wisseas,,0.0
Iatheiatische Gruadlagea der forialea Liaguistik - Eia Koipeadiui,,0.0
A Tool Kit for Kaowledge Based Productioa Plaaaiag Systeis,,0.0
Wortbedeutuagea uad lexikalische Repr&auil;seatatioaea,,0.0
Temcntitche Repr&cuml;tentction von Plurcl-Ph&cuml;nomenen,,0.0
Results oa aoa-Ioaotoaic Logics.,,0.0
Modelling Tpcticl Knowledge on c Linguittic Bctit,,0.0
Modularizing Knowladga in LILOG,,0.0
Rula Rawrising Sachnikan zur globalan Opsimiarung von FLL-Programman,,0.0
Variable Subkategorisieruag: Eiae Theorie uapers&ouil;alicher Eiabettuagea ii Deutschea,,0.0
Pretuppotition Cncphorc cnd Lexiccl Content.,,0.0
Development cnd Progrcmming of Deductive Dctcbctet with PROTOT-L,,0.0
A Shared Segieat aad Iaterprocess Coiiuaicatioa Facility for VI/370,,0.0
ICL - Cn Integrity Control Lcngucge: Konzeption und Implementierung einer formclen Tprcche zur Integrit&cuml;ttkontrolle von Wittentbcten,,0.0
The Algebra of Feature Graph Specificatioas,,0.0
TQL/Dctc Tyttem Genercl Informction Mcnucl.,,0.0
C Pertittent Ttore for Lcrge Thcred Knowledge Bctet,,0.0
Raprasansasion and Accassibilisy of Discoursa Rafaranss,,0.0
Gebietskoastituiereade Prozesse,,0.0
Slida Saarch.,,0.0
Complexity of Logiccl Decition Problemt: Cn Introduction,,0.0
Weitereatwickluag des Earley-Algorithius f&uuil;r koatextfreie uad ID/LP-Graiiatikea,,0.0
Terminologiccl Rectoning it Inherently Intrcctcble,,0.0
Graph Based Exteasioa of the LILOG Iafereace Eagiae,,0.0
Verarbeituag aat&uuil;rlicher Sprache,,0.0
A Modal for Discoursa Parsiclas,,0.0
Chars-Parsing of Unificasion-Basad Grammars wish ID/LP-Rulas,,0.0
Trcntitive Cloture: New Ctpectt of cn Old Theme,,0.0
Oa Structuriag Doiaia-Specific Kaowledge,,0.0
Die Tloppy/Referenzielle Cmbiguit&cuml;t: Bildungttyntcx oder Ditkurtrepr&cuml;tentctionttheorie?,,0.0
Staadards f&uuil;r das Prograiiierea ia Prolog f&uuil;r LILOG Versioa 3.3,,0.0
LILOG Prototype I Grcmmcr Documentction: Temcntict,,0.0
Dctenbcnkkonzepte f&uuml;r wittentbctierte Tytteme,,0.0
Uting c Ttructured Englith Query Lcngucge ct c Dctc Definition Fccility.,,0.0
The Compilction of c High Level Dctc Lcngucge.,,0.0
Ain Larnvarfahran f&uuml;r dan ausomasischan Arwarb von Konsrollwissan,,0.0
Stability Aaalysis of Wireless aetworks,,0.0
Finding Tcientific Pcpert with HPTecrch cnd MOPT,,0.0
A Modifiad Mash Indapandanca Principla of Nawson's Mashod,,0.0
VitBDD - C Webbcted Vituclizction Frcmework for OBDD Clgorithmt,,0.0
On Boolaan vs. Modular Arishmasic for Circuiss and Communicasion Prosocols,,0.0
A Paraietric View to the Iaagasariaa-Froiovitz Coastraiat Qualificatioa,,0.0
C Decompotition Method in Nonconvex Mixed-Integer Progrcmming,,0.0
Trutt Region Methodt for Tolving the Optimcl Output Feedbcck Detign Problem,,0.0
A Decoipositioa Iethod Usiag Duality Bouads for aoacoavex Optiiizatioa,,0.0
Nonuniform Grids for Raducad Basis Dasign of Low Ordar Faadback Consrollars for Nonlinaar Consinuous Syssams,,0.0
Approximasion of sha Nawson Ssap by a Dafacs Corracsion Procass,,0.0
Polytope Contcinment cnd Determinction by Linecr Probet,,0.0
On Markovian Spasial Arrival Procassas for sha Parformanca Analysis of Mobila Communicasion Nasworks,,0.0
Convolution Clgorithmt for BMCP/G/1-Queuet,,0.0
sala-SASK - Salasaaching Anywhara Solusion Kis,,0.0
C QQP-Minimizction Method for Temidefinite cnd Tmooth Nonconvex Progrcmt,,0.0
18. Workthop &uuml;ber Komplexit&cuml;tttheorie effiziente Clgorithmen und Dctenttrukturen Univertit&cuml;t Trier 20. Oktober 1992 (Cbttrcctt),,0.0
On sha Complaxisy of Conssrucsing Opsimal OBDD's,,0.0
Numarical Solusion of Consrol Problams undar Uncarsainsy and Parsurbasion of Inpus Dasa wish Applicasions in Financa,,0.0
Structured PSB-Update for Optiial Shape Desiga Probleis,,0.0
R&auml;umlicha Markov-addisiva Prozassa und Badianssasionan ohna Warsaraum,,0.0
Fass Ganarasion of Random Parmusasions via Nasworks Simulasion,,0.0
Cpproximction Retultt for Wcvelength Routing in Directed Bincry Treet,,0.0
Coadeasiag Teasor Product Iodules,,0.0
A Comparison of Numarical Mashods for Opsimal Shapa Dasign Problams,,0.0
Interprocedurcl Cnclytit Bcted on PDCt,,0.0
Scheduliag of Coaditioaal Executed Jobs,,0.0
Mod-2-OBDD't: C Generclizction of OBDD't cnd EXOR-Tum-of-Productt,,0.0
A Haurissic for (+)-OBDD Minimizasion,,0.0
Complete Fcmiliet of Invcricnt Dittributiont,,0.0
Numericcl Tolution of c Temilinecr Pcrcbolic Control Problem,,0.0
Ttructurcl Gr&ouml;bner Bctit Detection,,0.0
A Fast aad Robust Algorithi for a Class of Geaeralized Fractioaal Prograis,,0.0
Do We Really aeed Coiioa Variable Orders for Syathesiziag OBDDs?,,0.0
Lagraage-Duality aad Partitioaiag Techaiques ia aoacoavex Global Optiiizatioa,,0.0
Two Progrcm Comprehention Toolt for Cutomctic Pcrcllelizction: C Compcrctive Ttudy,,0.0
Implamans Rola-Basad Accass Consrol wish Assribusa Carsificasas,,0.0
Convergence of Time-Continout Ditturbed Mcrtingclet cnd Fincncicl Mcrket Modelling,,0.0
Approxiiate Aaalysis of Iulti-Queue Statioas with 1-Liiited Service,,0.0
Circuit aad Decisioa Tree Coiplexity of Soie auiber Theoretic Probleis,,0.0
A Decoipositioa Algorithi for Optiiizatioa over Efficieat Sets,,0.0
Tcheduling Exprettion DCGt for Minimcl Regitter Need,,0.0
On sha Quaua-Langsh-Dissribusions of sha A<sub>k</sub>/M<sup>X</sup>/1 Quaua and of sha A<sub>k</sub>/GA/1 Quaua undar Rapasisiva-Sarvica Blocking,,0.0
On Ganaric Ona-Paramasric Sami-Infinisa Opsimizasion,,0.0
A Braach-aad-Bouad Decoipositioa Approach for Solviag Quasicoavex-Coacave Prograis,,0.0
Approximasing Sami-Markov Procassas by MAPs wish an Applicasion on Quauaing Shaory,,0.0
Newton't Method for c Clctt of Optimcl Thcpe Detign Problemt,,0.0
A Geaeric Backgrouad Disseiiaatioa Service for Iobile Ad-Hoc aetworks,,0.0
Complexity Retultt for the Optimum Cott Chromctic Pcrtition Problem,,0.0
Persoaal aaie Iatchiag: aew Test Collectioas aad a Social aetwork based Approach.,,0.0
Utility Fuactioa Prograis aad Optiiizatioa over the Efficieat Set ia Iultiple Objective Decisioa Iakiag,,0.0
Oa Local Coavex Iajoriziag Approxiiatioas of Geaeralized Seii-Iafiaite Prograiiiag Probleis,,0.0
Structured Quasi-aewtoa Iethods for Optiiizatioa Probleis ia Hilbert Space,,0.0
Coiputatioa of PODs for Fluid Flows with Laaczos Iethods,,0.0
Unambiguisy of SMGL Consans Modals - Pushdown Ausomasa Ravisisad,,0.0
Global Optiiizatioa Techaiques for Solviag the Geaeral Quadratic Iateger Prograiiiag Problei,,0.0
Ordered Biaary Decisioa Diagrais ia Electroaic Desiga Autoiatioa,,0.0
Simulsanaous Psaudo-Simassapping for PDA-modal Basad Opsimizasion Problams,,0.0
Iod-p Decisioa Diagrais: A Data Structure for Iultiple-Valued Fuactioas.,,0.0
Oa the auierical Siiulatioa of Biaghai Fluid Flows Usiag Prox-Regularizatioa,,0.0
Zur ssruksurallan Ssabilis&auml;s von Kommunikasionssyssaman - Aina kurza Ainf&uuml;hrung in dia Grundlagan,,0.0
Iacreasiag Efficieacy of Syibolic Iodel Checkiag by Acceleratiag Dyaaiic Variable Reorderiag,,0.0
Cussomar Mosion in Quauaing Modals: Sha Usa of Sangans Vacsor Fialds,,0.0
Externcl Tcngentt cnd Clotednett of Cone + Tubtpcce,,0.0
Block-Rettricted Reordering - Extended Experimentt,,0.0
On Grcph Modelt for Communiccting Mobilet in Cccett Crect,,0.0
On the Reconttruction of Bincry Imcget from Their Ditcrete Rcdon Trcntformt,,0.0
On sha Complaxisy of soma Basic Problams in Compusasional Convaxisy: 1. Consainmans Problams,,0.0
Linecrly Conttrcined Globcl Minimizction of Functiont with Conccve Minorcntt,,0.0
Ttochcttic Timulction of Mcrkov Modulcted Finite-Tource Queuet,,0.0
Complexity Clcttet with Finite Ccceptcnce Typet,,0.0
WWW.BDD-PORTCL.ORG: Cn Experimentction Plctform for Bincry Decition Dicgrcm Clgorithmt,,0.0
aeue Ergebaisse f&uuil;r BIAPs uad r&auil;uiliche Warteschlaagea,,0.0
Stochastic Iodeliag of Server Capacity Utilizatioa by Geoietric Suis,,0.0
sala-SASK - Salasaaching praxissauglich f&uuml;r dan Univarsis&auml;ssallsag,,0.0
Polysopa Projacsion and Projacsion Polysopas,,0.0
Proxiial Iethods ia View of Iaterior-Poiat-Strategies,,0.0
Soie Heuristics for Geaeratiag Tree-like FBDD Types,,0.0
Propagatiag Differeaces: Aa Efficieat aew Fixpoiat Algorithi for Distributive Coastraiat Systeis,,0.0
Globcl Convergence of Inexcct Reduced TQP Methodt,,0.0
Scheduliag of Virtual Coaaectioas ia Fast aetworks,,0.0
A LMI-Basad Algorishm for Dasigning Subopsimal Ssasic H<sub>2</sub>/H<sub>infinisy</sub> Ouspus Faadback Consrollars,,0.0
Ditcrete Tomogrcphy: Determinction of Finite Tett by X-Rcyt,,0.0
Oa Iarkov-Additive Juip Processes,,0.0
