Randomized_String,Original_String,TextScore
Wittentrepr&cuml;tentction und Mctchinellet Lernen,"Wie forschend-entdeckendes Lernen gelingen kann - Forschendes und entdeckendes Lernen in Kontexten zu Datenschutz, Internet und Urheberrecht.",1.6875
Cn Clgebrcic Chcrccterizction of TTUF,ROB/CN: An Efficient Reliable 1-Hop Broadcast Using CSMA/CN in Mobile Ad Hoc Networks.,0.8571428571428571
A Coibiaed Syibolic-Eipirical Apprach for the Autoiatic Traaslatioa of Coipouads,A New Apprach to Verifying Conceptual Models.,0.6
Zur Tyttemcrchitektur von LILOG,Zur Systemarchitektur von LILOG,1.875
Manganoriansiarsa Auswarsung von Anfragan in dar Logikprogrammiarspracha PROLOG,Prolog: Programmierung auf der Basis von Logik / Prolog: Logic Based Programming.,1.4318181818181819
Defiaite Resolutioa over Coastraiat Laaguages,,0.0
Dokuieatatioa der Syatax der LILOG-Graiiatik,Dokumentation der Syntax der LILOG-Grammatik,1.5833333333333335
Cogaitive Liaguistics: The Processiag of Spatial Coacepts,Spatial Support and Spatial Confidence for Spatial Association Rules.,1.25
LILOG-DB: Database Support for Kaowledge-Based Systeis,LILOG-DB: Database Support for Knowledge-Based Systems,2.8571428571428568
Differenticl Cloture Computction for Genercl Horn-Clcute Queriet,Horn Complements: Towards Horn-to-Horn Belief Revision.,1.25
SQL/Data Systei for VSE: A Relatioaal Data Systei for Applicatioa Developieat.,SQL/Data System for VSE: A Relational Data System for Application Development.,2.0277777777777777
A Logical Operatioaal Seiaatics of Full Prolog,Specializtion in Logic Programming: from Horn Clause Logic to Prolog and Concurrent Prolog.,1.8333333333333335
Eia Fact Iaaager zur persisteatea Speicheruag variabel strukturierter koiplexer Objekte,Ein Fact Manager zur persistenten Speicherung variabel strukturierter komplexer Objekte,2.75
How could a good systei of practical aLP look like?,How could a good system of practical NLP look like?,2.3333333333333335
I&ouil;glichkeitea des Eiasatzes eiaes dreiwertigea Theoreibeweisers,"Modernisierung des Datenschutzes aus Sicht des Verbraucherschutzes - Stellungnahme des vzbv e.V. zur Anh&ouml;rung des Innenausschusses des Deutschen Bundestages ""Modernisierung des Datenschutzrechts"" am 5. M&auml;rz 2007.",1.1880387931034482
Attribute Iaheritaace Iipleieated oa Top of a Relatioaal Database Systei,Attribute Inheritance Implemented on Top of a Relational Database System,1.7142857142857142
LMT - Mcchine Trcntlction Demonttrction,A Study of the LMT-Skeleton.,0.6666666666666666
Implementction Ctpectt of c Ncturcl Lcngucge Underttcnding Tyttem in c Prolog/DB Environment,PROGRAPH as an Environment for Prolog DB Applications.,1.7999999999999998
Sort Processiag ia a Deductive Database Systei,Using clausal deductive databases for defining semantics in disjunctive deductive databases.,1.8333333333333335
EFTC: C Dctcbcte Retrievcl Clgebrc for Fecture Termt,C and C++.,1.5
Knowledge in Operction,My Knowledge of Knowledge.,1.5
Aa Overview oa Plaaaiag Applicatioas ia PROTOS-L,An Overview on Planning Applications in PROTOS-L,1.7999999999999998
&Uuil;ber Aas&auil;tze zur Darstelluag voa Koazeptea uad Prototypea,&Uuml;ber Ans&auml;tze zur Darstellung von Konzepten und Prototypen,1.6363636363636362
Attributive Coacept Descriptioas with Uaioas aad Coipleieats,Attributes for Improved Attributes: A Multi-Task Network for Attribute Classification.,1.203125
Ein prcktitcher Clgorithmut f&uuml;r die E-Unifikction,Die Digitalisierungsstra&szlig;e f&uuml;r die Stadt der Zukunft - Kollaborative Entwicklung eines Portals f&uuml;r b&uuml;rger-initiierte Dienstleistungsentwicklung im Kontext einer Smart City.,4.415178571428572
Siiulatioa Sprachlichea Versteheas: Geaerelle Probleie bei der seiaatischea Iaterpretatioa der aat&uuil;rlichea Sprache,Die &Uuml;bersetzung der CAMAC - Sprache unter Verwendung der zwischensprache IML - Erfahrungen bei der Implementierung von CAMAC - Complilern.,2.076388888888889
The Iastitute for Kaowledge Based Systeis ia the IBI Geriaay Scieatific Ceater,"Renoir, Pneumon-IA and Terap-IA: three medical applications based on fuzzy logic.",1.4318181818181819
Konzapsion und Implamansiarung von Glaichhais f&uuml;r ainan sablaau-basiarsan Shaoram-Bawaisar,Verarbeitung von Vagheits- und Unsicherheitsbewertungen: Tools f&uuml;r das Testen von Ans&auml;tzen f&uuml;r die Unifikation und die Logikbehandlung von mit Unsicherheit und Vagheit bewerteten Graphen im L-LILOG-STUF-Graphenkonzept,4.2785714285714285
PROSOS-L: Sowards a Knowladga Basa Programming Languaga,Program Does Not Equal Program: Constraint Programming and Its Relationship to Mathematical Programming.,1.40625
Syataktische Iaforiatioaseiaheitea zu deutschea Adjektivea,"Der Spielraum zwischen ""zu wenig"" und ""zu viel"".",0.9375
On the Interpretction of Equclity Tortt cnd Logic Progrcmming,"Logic, Logics, and Logicism.",1.75
DInG - ein Dom&cuml;nen-orientierter Inkrementeller und Integrierter Generctor f&uuml;r koh&cuml;rente Texte,DInG - ein Dom&auml;nen-orientierter Inkrementeller und Integrierter Generator f&uuml;r koh&auml;rente Texte,7.411764705882352
Prozedurale Seiaatik. Repr&auil;seatatioa der Sprechergegeawart.,Prozedurale Semantik. Repr&auml;sentation der Sprechergegenwart.,1.7142857142857142
Elsa&szlig;-Waaderuag f&uuil;r Liaguistea: Exeiplarische Aaalyse uad Repr&auil;seatatioa eiaes Satzes aus eiaer Reisebeschreibuag,Elsa&szlig;-Wanderung f&uuml;r Linguisten: Exemplarische Analyse und Repr&auml;sentation eines Satzes aus einer Reisebeschreibung,3.694444444444444
"""Dicsionary Dialog"" - Answurf das Funksionsumfangs f&uuml;r aina Banuszarschnissssalla ainas insagriarsan maschinallan/maschinanunsarss&uuml;szsan &Uuml;barsaszungssyssams und prososypischa Arssallung dar Bildschirmfolga f&uuml;r dia Funksion ""Samansischa Ralasion""",,0.0
Zur Bahandlung komplaxar Objaksa in LILOG,Zur Systemarchitektur von LILOG,1.25
Compusasional aspacss of shraa-valuad logic,"Logic, Logics, and Logicism.",1.75
Seiaatics of Logic Prograis with Equatioaal Abstract Data Type Specificatioas,A Logic for Abstract Data Types as Existential Types.,2.75
Procassing Spasial Knowladga in LILOG,Verarbeitung von L<sub>LILOG</sub> - Theorie und Praxis oder Was kann man noch besser machen bei der Verarbeitung von L<sub>LILOG</sub>?,0.8152173913043478
A Reusable Lexical Database Tool for Iachiae Traaslatioa,A Reusable Lexical Database Tool for Machine Translation,2.3333333333333335
Dar Lambak-Kalk&uuml;l. Aina Logik f&uuml;r laxikalischa Grammasikan,Der Lambek-Kalk&uuml;l. Eine Logik f&uuml;r lexikalische Grammatiken,3.583333333333333
Paranshasischa Konssruksionan das Dausschan.,An Uplink Capacity Analysis of the Distributed Antenna System (DAS): From Cellular DAS to DAS with Virtual Cells.,1.09375
Syiietric Coordiaatioa: Aa Alteraative Theory of Phrase Structure,Minimal phrase structure: a new formalized theory of phrase structure.,2.4375
Aa Approach to Iaaage Large Iaheritaace aetworks,An Approach for Applying Large Filters on Large Images using FPGA.,1.5
On the Problem of Mctking Tpecicl Errort by Tericl Tigncture Cnclytit,"Problems, problems, problems.",1.75
Eine dreiwertige Logik zur Vercrbeitung pcrtieller Informction,Eine dreiwertige Logik zur Verarbeitung partieller Information.,2.2857142857142856
Cn Inference Engine for Function Free Logic Progrcmt,An inference engine for function free logic programs.,2.916666666666667
Aspekte der Geaerieruag voa Wegbeschreibuagea,Der Aspekt der Zeitstruktur in zeitlogischen Formalisierungen in der KI.,1.765625
Das Projekt EXCEPT: Expert-Systei for Coiputer-Aided Eaviroaieatal Plaaaiag Tasks,Das Projekt EXCEPT: Expert-System for Computer-Aided Environmental Planning Tasks,3.3
A Forial Operatioaal Seiaatics for PROLOG III: Usiag Dyaaiic Algebras,Algebraic geometry III - complex algebraic varieties ; algebraic curves and their Jacobians.,1.722222222222222
Subsumsion f&uuml;r aina arwaisarsa assribusiva Sorsanbaschraibungsspracha,Das Sozio-oekonomische Panel (SOEP): Multidisziplin&auml;res Haushaltspanel und Kohortenstudie f&uuml;r Deutschland - Eine Einf&uuml;hrung (f&uuml;r neue Datennutzer) mit einem Ausblick (f&uuml;r erfahrene Anwender).,2.96875
Mcthemctitche Grundlcgen der formclen Linguittik - Ein Kompendium,Eine Anwendung der Wahrscheinlichkeitstheorie von Carnap auf ein Problem der Unternehmensforschung.,1.772727272727273
Die Struktur des Lexikoas f&uuil;r LILOG,Die Struktur des Lexikons f&uuml;r LILOG,3.375
Die Konzeption det EXCEPT-Tyttemt: Ein &Uuml;berblick,Die Konzeption des EXCEPT-Systems: Ein &Uuml;berblick,3.375
"Richtuagsaagabe oder Wegkoaaektor? R&auil;iliches ""Zur&uuil;ck"" uad seiae Seiaatik",,0.0
Vor&uuml;barlagungan zur dapiksionalan Rapr&auml;sansasion r&auml;umlichan Wissans,Funktionsmodell eines Griffst&uuml;cks zur R&uuml;ckkopplung von Greifkr&auml;ften f&uuml;r eine Schnittstelle zur Steuerung minimalinvasiver Operationen.,3.153409090909091
Fully Persisteat B<sup>+</sup>-trees,B<sup>ob</sup>-Tree: An Efficient B<sup> + </sup>-Tree Based Index Structure for Geographic-Aware Obfuscation.,2.859375
Dar modala Infinisiv: Synsaksischa odar laxikalischa Baschraibung?,Optical Wireless Communications for Heterogeneous DARS.,0.6
Dctcbcte Tncpthott.,,0.0
"Ct Ecte with ""CT""",Perceptual CT Loss: Implementing CT Image Specific Perceptual Loss for CNN-Based Low-Dose CT Denoiser.,1.05
Dateabaakuaterst&uuil;tzuag f&uuil;r wisseasbasierte Systeie,A characterization of the identity function with equation f(p+q+r)=f(p)+f(q)+f(r).,2.0625
Die Ontologie und Cxiomctik der Wittentbctit von LEU/2 - Erfchrungen Probleme Cutblicke,"Die Ontologie und Axiomatik der Wissensbasis von LEU/2 - Erfahrungen, Probleme, Ausblicke",4.333333333333333
Temporclet Tchlie&tzlig;en in einem nct&uuml;rlichtprcchlichen Tyttem,Temporales Schlie&szlig;en in einem nat&uuml;rlichsprachlichen System,1.6666666666666667
Zur iatelligeatea Orgaaisatioa voa Wisseasbest&auil;adea ia k&uuil;astlichea Systeiea,On <i>k</i>k-stellated and <i>k</i>k-stacked spheres.,1.4732142857142856
The Temcntict of Ctterting cnd Retrccting Clcutet to Logic Progrcmt,"Logic, Logics, and Logicism.",1.75
Correctnett Proof for the WCM,"Proofs, proofs, proofs, and proofs",1.875
Word Order cnd Focut Projection,Word Order and Focus Projection,1.875
KL-ONE: Eine Einf&uuml;hrung,KL-ONE: Eine Einf&uuml;hrung,3.5000000000000004
Improving sha Concurrancy of Insagrisy Chacks and Wrisa Oparasions,Improve by improving software process improvers.,1.4000000000000001
&Uuml;ber Vergleichtkonttruktionen,"&Uuml;ber ""&Uuml;ber den Plankalk&uuml;l"" von Konrad Zuse.",2.0
Ereignitte: Ihre Logik und Ontologie cut texttemcntitcher Ticht,Ereignisse: Ihre Logik und Ontologie aus textsemantischer Sicht,2.25
Der LILOG-DB Fcct Mcncger: Ein Dctenbcnkkern zur Tpeicherung vcricbel ttrukturierter komplexer Objekte,Der LILOG-DB-Fact-Manager: Ein Datenbankkern zur Speicherung variabel strukturierter komplexer Objekte.,3.7692307692307687
Wissansbasiarsa Syssama in dar Madizin: GMDS/GI Abssracss das 1. gamainsaman Workshops dar AG Axparsansyssama dar GMDS und dar FG Diagnossik und Klassifikasion im GI-Fachausschu&szlig; 1.5 29.-30. M&auml;rz 1990 Haidalbarg,"Wissensbasierte Systeme in der Medizin: GMDS/GI, Abstracts des 1. gemeinsamen Workshops der AG Expertensysteme der GMDS und der FG Diagnostik und Klassifikation im GI-Fachausschu&szlig; 1.5, 29.-30. M&auml;rz 1990, Heidelberg",9.857142857142856
An Anvironmans for Axparimansasion wish Parsing Ssrasagias,To Parse or Not To Parse.,1.5
Logischas Clussaring von PROSOS-L Prozaduran,Verarbeitung von L<sub>LILOG</sub> - Theorie und Praxis oder Was kann man noch besser machen bei der Verarbeitung von L<sub>LILOG</sub>?,1.6304347826086956
Iultiword Lexeies: A Ioaoliagual aad Coatrastive Typology for aLP aad IT,What is Reduplication? Typology and Analysis Part 1/2: The Typology of Reduplication.,0.9375
C Model Eliminction Cclculut for Generclized Clcutet,The relationship between Gaussian process based c-regression models and kernel c-regression models.,1.772727272727273
Qucntitctive Cnclyten zu W&ouml;rterb&uuml;chern,Projekt Alt&auml;gyptische W&ouml;rterb&uuml;cher im Verbund: Digital unterst&uuml;tze Analyse der Entwicklung &auml;gyptischer W&ouml;rterb&uuml;cher.,3.41
Lexiccl Repretentction of Idiomt,,0.0
The LILOG Kaowledge Represeatatioa Systei,Verarbeitung von L<sub>LILOG</sub> - Theorie und Praxis oder Was kann man noch besser machen bei der Verarbeitung von L<sub>LILOG</sub>?,0.8152173913043478
Mangankonzapsa in Unifikasionsgrammasikan,,0.0
Sha Gamma-0 n-ary Ralasional Dasa Basa Insarfaca Spacificasions of Objacss and Oparasions.,The Gamma-0 n-ary Relational Data Base Interface Specifications of Objects and Operations.,2.1818181818181817
On sha Sraasmans of Compounds in Machina Sranslasion. A Ssudy,"Identifiers and Test Vectors for HMAC-SHA-224, HMAC-SHA-256, HMAC-SHA-384, and HMAC-SHA-512.",1.1875
Posision und Bawagung: Zur Samansik lokalar Varban,Behandlung von Terminierung und Konfluenz in aktiven Datenbanken zur Definitionszeit und zur Laufzeit.,1.75
Zur Tyttemctik morphologitcher Pcrcdigmen: Die deuttchen Verben in der Computermorphologie,Zur Systematik morphologischer Paradigmen: Die deutschen Verben in der Computermorphologie,2.7777777777777777
C WCM Extention for Type-Conttrcint Logic Progrcmming: Tpecificction cnd Correctnett Proof,"Type-logical investigations: proof-theoretic, computational and linguistic aspects of modern type-logical grammars.",2.2916666666666665
Doiaia Restrictioa aad Other Kiads of Refereace Set Operatioas ia Seateace aad Discourse Seiaatics.,On the Set LCS and Set-Set LCS Problems.,1.3125
Uiweltbewertuag iit EXCEPT: Darstelluag aus &ouil;kologischer Sicht,Umweltbewertung mit EXCEPT: Darstellung aus &ouml;kologischer Sicht,2.25
Lernverfchren zur Vervolltt&cuml;ndigung von Hornklcutelmengen durch inverte Retolution,Lernverfahren zur Vervollst&auml;ndigung von Hornklauselmengen durch inverse Resolution,2.2
Ain Baispial zur wissansbasiarsan Produksionsplanung mis PROSOS-L.,"Requirements Engineering zur Umsetzung des OZG: Status quo, Fallstudie und Optimierungspotenziale zur Realisierung kommunalrelevanter OZG-L&ouml;sungen.",1.3611111111111112
"Zum Bagriff ""Argumansssruksur"" im Rahman ganarasivar worbildungsshaorasischar Ans&auml;sza",,0.0
Ttcndcrdt f&uuml;r dct Progrcmmieren in Prolog f&uuml;r LILOG Vertion 2.0,"Standards f&uuml;r das Programmieren in Prolog f&uuml;r LILOG, Version 2.0",4.7142857142857135
Sha Sarm Rasriaval Abssracs Machina,"Identifiers and Test Vectors for HMAC-SHA-224, HMAC-SHA-256, HMAC-SHA-384, and HMAC-SHA-512.",1.1875
Synsaksischa Analysavorschl&auml;ga zur Bahandlung von lokalan Pr&auml;fixvarban in ainam Syssam f&uuml;r dia Ganariarung von Wagbaschraibungan,Workflow f&uuml;r die Segmentierung von Felsenbeindatens&auml;tzen zur Erzeugung k&uuml;nstlicher Felsenbein-Pr&auml;parate.,4.289473684210526
Faasura Conssrains Logics for Unificasion Grammars,"Logic, Logics, and Logicism.",1.75
Ain Sransaksionskonzaps f&uuml;r LILOG,"Standards f&uuml;r das Programmieren in Prolog f&uuml;r LILOG, Version 3.3",3.107142857142857
Disjuactive Uaificatioa,,0.0
Ereigaisse uad Repr&auil;seatatioaea,"Prinzipien piktorieller Repr&auml;sentationssysteme, Untersuchungen zur bildhaften Repr&auml;sentation von Wissen in informationsverarbeitenden Systemen",0.85
On the Role of Rectoning cbout Chcnge in the Projection of Pretuppotitiont,Matching the Project Manager's Roles to Project Types: Evidence From Large Dam Projects in Africa.,1.659090909090909
A Logical Operatioaal Seiaatics of Full Prolog Part II: Built-ia Predicates for Database Iaaipulatioas,A Logical Operational Semantics of Full Prolog Part II: Built-in Predicates for Database Manipulations,4.363636363636363
A Briaf Ovarlook of LILOG-DB,A Brief Overview of LILOG-DB.,1.25
Leistuagsaaalyse des Dateabaaksysteis LILOG-DB,Leistungsanalyse des Datenbanksystems LILOG-DB,1.7999999999999998
RENDEZVOUT Vertion 1: Cn Experimentcl Englith Lcngucge Query Formulction Tyttem for Cctucl Utert of Relctioncl Dctc Bctet.,Heuristics-based Query Reordering for Federated Queries in SPARQL 1.1 and SPARQL-LD.,1.772727272727273
Modclt cnd the Tcope of Negction On the Trectment of Optionclity in HPTG Tome Propertiet of Negction in Germcn.,TOME: A Topic Modeling Tool for Document Discovery and Exploration.,0.5714285714285714
Tcblecu Cclculut for Order Torted Logic,"First Order Logic, Fixed Point Logic and Linear Order.",1.875
Parsiagstrategiea f&uuil;r Uaifikatioasgraiiatikea iit ID/LP-Regela,Parsingstrategien f&uuml;r Unifikationsgrammatiken mit ID/LP-Regeln,2.2222222222222223
Sort-Lattice Iaaageieat ia LILOG-DB,Sort-Lattice Management in LILOG-DB,2.4
Sorted Feature Teris aad Relatioaal Depeadeacies,"Feature Ranking for Feature Sorting and Feature Selection, and Feature Sorting: FR4(FSoFS)$\wedge $FSo.",2.125
Reasoaiag for Text Uaderstaadiag - Kaowledge Processiag ia the 1st LILOG-Prototype,Reasoning for Text Understanding - Knowledge Processing in the 1st LILOG-Prototype.,2.25
Zur Synsax pr&auml;nominalar Alamansa in ainar kasagorialan Unifikasionsgrammasik das Dausschan,Zur Pr&auml;fixoptimalit&auml;t Gewisser &#8708; ... &#8708;-Darstellungen Aufz&auml;hlbarer Pr&auml;dikate.,2.546875
Wissansbasisvarwalsung f&uuml;r LILOG,"Standards f&uuml;r das Programmieren in Prolog f&uuml;r LILOG, Version 2.0",3.107142857142857
How to Fit the Laibek Calculus iato the Choisky Hierarchy,How to Fit the Lambek Calculus into the Chomsky Hierarchy,1.7999999999999998
Erweiteruag der Wisseasrepr&auil;seatatioassprache L-LILOG ui Koastrukte zur Spezifikatioa voa Koatrolliaforiatioa,Erweiterung der Wissensrepr&auml;sentationssprache L-LILOG um Konstrukte zur Spezifikation von Kontrollinformation,2.1538461538461537
Ttrctegien zur Pronominclitierung,"Entwicklungsprozess von Kollisionsschutzsystemen f&uuml;r Frontkollisionen: Systeme zur Warnung, zur Unfallschwereminderung und zur Verhinderung.",1.05
Iadex Path Leagth Evaluatioa for the Research Storage Systei of Systei R.,Index Path Length Evaluation for the Research Storage System of System R.,2.2222222222222223
"""Der Film &ouml;ded dct Publikum"" - Zum Cufbcu einet mctchinenletbcren W&ouml;rterbucht f&uuml;r deuttche Verben",,0.0
Oparasionan in arwaisarsan Sypunifikasionsformalisman,,0.0
WabS - ain Syssam zur Ganariarung von Wagbaschraibungan,Probabilistische Methode zur Modellierung des Ladeverhaltens von Elektroautos anhand gemessener Daten elektrischer Ladestationen - Auslastungsanalysen von Ladestationen unter Ber&uuml;cksichtigung des Standorts zur Planung von elektrischen Stromnetzen.,1.7777777777777777
Ttctittitche Untertuchungen cn eintprcchigen Zeitungttexten,ROB/CN: An Efficient Reliable 1-Hop Broadcast Using CSMA/CN in Mobile Ad Hoc Networks.,0.8571428571428571
Internctioncl Workthop on Terminologiccl Logict - Proceedingt,,0.0
LILOG - Liaguistische uad logische Iethodea f&uuil;r das iaschiaelle Verstehea des Deutschea - Projektbeschreibuag,LILOG - Linguistische und logische Methoden f&uuml;r das maschinelle Verstehen des Deutschen - Projektbeschreibung,3.214285714285714
Mcthemcticcl Logic cnd Crtificicl Intelligence,"Logic, Logics, and Logicism.",1.75
Synsaksischa Markmala dausscha Subssansiva,,0.0
Die Behcndlung von mehrdeutigen Verben in der Mctchinellen &Uuml;bertetzung,Die Behandlung von mehrdeutigen Verben in der Maschinellen &Uuml;bersetzung,3.333333333333333
Unsarsuchung zur varsailsan Produksionsplanung mis Mashodan dar logischan Programmiarung,"Entwicklungsprozess von Kollisionsschutzsystemen f&uuml;r Frontkollisionen: Systeme zur Warnung, zur Unfallschwereminderung und zur Verhinderung.",1.05
Ttepwite Toftwcre Development with Clgebrcic Tpecificctiont,Developing Developments.,1.5
Sypas Modulas and Dasabasas in sha Logic Programming Languaga PROSOS-L,Description logic programs: combining logic programs with description logic.,2.140625
The Kaowledge Represeatatioa Laaguage L<sub>LILOG</sub>,Verarbeitung von L<sub>LILOG</sub> - Theorie und Praxis oder Was kann man noch besser machen bei der Verarbeitung von L<sub>LILOG</sub>?,2.730978260869565
Aina Prolog-Shaoria f&uuml;r zaislicha Baziahungan zwischan Araignissan,"Standards f&uuml;r das Programmieren in Prolog f&uuml;r LILOG, Version 2.0",3.107142857142857
The Stuttgart Type Uaificatioa Forialisi - User Iaaual,The Stuttgart Type Unification Formalism - User Manual,1.75
Lokale Verbea uad Pr&auil;positioaea: Seiaatische uad koazeptuelle Verarbeituag ia LEU II,Lokale Verben und Pr&auml;positionen: Semantische und konzeptuelle Verarbeitung in LEU II,2.1666666666666665
ILFA Iaterface Coacept,ILFA Interface Concept,0.6666666666666666
Sransacsions and Consissancy in Dissribusad Dasabasa Syssams.,,0.0
Knowledge Repretentction in LILOG,My Knowledge of Knowledge.,1.5
A Logical Oparasional Samansics of Full Prolog Pars III: Buils-in Pradicasas for Filas Sarms Arishmasic and Inpus-Ouspus,"A Logical Operational Semantics of Full Prolog Part III: Built-in Predicates for Files, Terms, Arithmetic and Input-Output",2.142857142857143
Uting Knowledge-Bcted Methodt to Cdminittrcte cn Cccett Control Tyttem,A hybrid control system using a fuzzy knowledge-based controller and its application to control a complex system.,1.6354166666666665
Zur Verarbeituag voa Lokalisieruagsausdr&uuil;ckea ia eiaei hybridea Systei,"Entwicklungsprozess von Kollisionsschutzsystemen f&uuml;r Frontkollisionen: Systeme zur Warnung, zur Unfallschwereminderung und zur Verhinderung.",1.05
Iategratioa voa Coastraiats ia die L<sub>LILOG</sub> Sorteabeschreibuagssprache,Verarbeitung von L<sub>LILOG</sub> - Theorie und Praxis oder Was kann man noch besser machen bei der Verarbeitung von L<sub>LILOG</sub>?,2.730978260869565
Mentcle Bilder und Wegbedeutungen,Mentale Bilder und Wegbedeutungen.,1.875
Pluralbahandlung in nas&uuml;rlichsprachlichan Wissansvarabaisungssyssaman,Ein wissensbasiertes Entscheidungsunterst&uuml;tzungssystem f&uuml;r die Kreditw&uuml;rdigkeitspr&uuml;fung von Unternehmensgr&uuml;ndungen.,1.237847222222222
Cn Order-Torted Logic for Knowledge Repretentction Tyttemt,"Comparison of first order predicate logic, fuzzy logic and non-monotonic logic as knowledge representation methodology.",2.1538461538461537
Iacreieatal Vocabulary Exteasioas ia Text Uaderstaadiag Systeis,From Text Vocabularies to Visual Vocabularies - What Basis?.,1.65
Persisteace aad Justified Causatioa: Soie Reiarks oa aoaioaotoaic Teiporal Reasoaiag,Justified Beliefs by Justified Arguments.,1.125
Dctcbcte Tupport for the PROTOT-L Tyttem,"L-closure operators, L-closure systems and L-closure L-systems on complete L-ordered sets.",1.314732142857143
Anaphora Rasolusion for Machina Sranslasion: A Ssudy,Anaphora for Everyone: Pronominal Anaphora Resolution without a Parser.,0.9642857142857142
Koordinction von nichtverbclen Tctzkonttituenten,Evaluation von Sprachen zur Spezifikation von Transformationen in modellbasierten Entwicklungsprozessen von Benutzungsschnittstellen.,1.1136363636363635
Sha Dasign and Implamansasion of SLPROLOG (V. 2.0) - Insarmadiasa Rapors,"On the System of Word Equations <i>x</i><sub>0</sub><i>u</i><sup><i>i</i></sup><sub>1</sub><i>x</i><sub>1</sub><i>u</i><sup><i>i</i></sup><sub>2</sub><i>x</i><sub>2</sub><i>u</i><sup><i>i</i></sup><sub>3</sub><i>x</i><sub>3</sub>=<i>y</i><sub>0</sub><i>v</i><sup><i>i</i></sup><sub>1</sub><i>y</i><sub>1</sub><i>v</i><sup><i>i</i></sup><sub>2</sub><i>y</i><sub>2</sub><i>v</i><sup><i>i</i></sup><sub>3</sub><i>y</i><sub>3</sub>(<i>i</i>=0, 1, 2, ...) in a Free Monoid.",2.8515625
A Concapsual Modal for Sima,Modal Logic in the Modal Sense of Modality.,1.4000000000000001
Ttcndcrdt f&uuml;r dct Progrcmmieren in Prolog f&uuml;r LILOG Vertion 1.0,"Standards f&uuml;r das Programmieren in Prolog f&uuml;r LILOG, Version 1.0",4.7142857142857135
Qualis&auml;sssicharung durch Programmvarifikasion und algabraischa Mashodan in dar Sofswaraanswicklung,Orientierung und Problembew&auml;ltigung durch TV-Talkshows: Empirische Ergebnisse und Erkl&auml;rungsans&auml;tze.,2.4140625
Faasura Graphs and Abssracs Dasa Sypas: A Unifying Approach,A Unified Approach to a Characterization of Grassmann Graphs and Bilinear Forms Graphs.,2.0625
The Mcny-Vclued Theorem Prover <tub>3</tub>T<tup>C</tup>P.,The decision problem for [(<i>Z</i>)\vec]<i>C</i>(<i>p</i><sup>3</sup>){\vec Z}C(p^3)-lattices with <i>p</i>p prime.,2.8125
