Randomized_String,Original_String
Die Repr&auil;seatatioa r&auil;uilichea Wisseas uad die Behaadluag voa Eiabettuagsprobleiea iit Quadtreedepiktioaea,Die Repr&auml;sentation r&auml;umlichen Wissens und die Behandlung von Einbettungsproblemen mit Quadtreedepiktionen
Categorical Abstract Algebraic Logic: Categorical Algebraizatioa of Equatioaal Logic.,Algebraical Optimization of FTA-Expressions
Entwicklung einet modernen Lehr- und Lernkonzeptt f&uuml;r Mctchinellet Lernen mit Infrcttructure-ct-c-Tervice und Cloud Computing.,Wissensrepr&auml;sentation und Maschinelles Lernen
Aa Algebraic Characterizatioa of Seiaatic Iadepeadeace.,An Algebraic Characterization of STUF
A Coibiaed Syibolic-Eipirical Apprach for the Autoiatic Traaslatioa of Coipouads,A Combined Symbolic-Empirical Apprach for the Automatic Translation of Compounds
Zur Tyttemcrchitektur von LILOG,Zur Systemarchitektur von LILOG
Manganoriansiarsa Auswarsung von Anfragan in dar Logikprogrammiarspracha PROLOG,Mengenorientierte Auswertung von Anfragen in der Logikprogrammiersprache PROLOG
Defiaite Resolutioa over Coastraiat Laaguages,Definite Resolution over Constraint Languages
Dokuieatatioa der Syatax der LILOG-Graiiatik,Dokumentation der Syntax der LILOG-Grammatik
Cogaitive Liaguistics: The Processiag of Spatial Coacepts,Cognitive Linguistics: The Processing of Spatial Concepts
LILOG-DB: Database Support for Kaowledge-Based Systeis,LILOG-DB: Database Support for Knowledge-Based Systems
Differenticl Cloture Computction for Genercl Horn-Clcute Queriet,Differential Closure Computation for General Horn-Clause Queries
SQL/Data Systei for VSE: A Relatioaal Data Systei for Applicatioa Developieat.,SQL/Data System for VSE: A Relational Data System for Application Development.
A Logical Operatioaal Seiaatics of Full Prolog,A Logical Operational Semantics of Full Prolog
Eia Fact Iaaager zur persisteatea Speicheruag variabel strukturierter koiplexer Objekte,Ein Fact Manager zur persistenten Speicherung variabel strukturierter komplexer Objekte
How could a good systei of practical aLP look like?,How could a good system of practical NLP look like?
I&ouil;glichkeitea des Eiasatzes eiaes dreiwertigea Theoreibeweisers,M&ouml;glichkeiten des Einsatzes eines dreiwertigen Theorembeweisers
Attribute Iaheritaace Iipleieated oa Top of a Relatioaal Database Systei,Attribute Inheritance Implemented on Top of a Relational Database System
Maan Machina Sranslasions: On Gandar Bias in Icalandic Machina Sranslasions.,LMT - Machine Translation Demonstration
Implementction Ctpectt of c Ncturcl Lcngucge Underttcnding Tyttem in c Prolog/DB Environment,Implementation Aspects of a Natural Language Understanding System in a Prolog/DB Environment
Sort Processiag ia a Deductive Database Systei,Sort Processing in a Deductive Database System
Research oa the Iultiple Feature Fusioa Iiage Retrieval Algorithi based oa Texture Feature aad Rough Set Theory.,EFTA: A Database Retrieval Algebra for Feature Terms
The Need for Knowledge Orgcnizction. Introduction to the book Linking Knowledge: Linked Open Dctc for Knowledge Orgcnizction.,Knowledge in Operation
Aa Overview oa Plaaaiag Applicatioas ia PROTOS-L,An Overview on Planning Applications in PROTOS-L
Cbfcllmengenttr&ouml;me von Tt&cuml;dten und Regionen - Entwicklung einet EDV-untertt&uuml;tzten Modellt zur Dcrttellung der Cbfcllmengenttr&ouml;me in Tt&cuml;dten und Regionen.,&Uuml;ber Ans&auml;tze zur Darstellung von Konzepten und Prototypen
Attributive Coacept Descriptioas with Uaioas aad Coipleieats,Attributive Concept Descriptions with Unions and Complements
Ein prcktitcher Clgorithmut f&uuml;r die E-Unifikction,Ein praktischer Algorithmus f&uuml;r die E-Unifikation
Siiulatioa Sprachlichea Versteheas: Geaerelle Probleie bei der seiaatischea Iaterpretatioa der aat&uuil;rlichea Sprache,Simulation Sprachlichen Verstehens: Generelle Probleme bei der semantischen Interpretation der nat&uuml;rlichen Sprache
The Iastitute for Kaowledge Based Systeis ia the IBI Geriaay Scieatific Ceater,The Institute for Knowledge Based Systems in the IBM Germany Scientific Center
Verfchren zur Implementierung einet Kcrtierungtdienttet f&uuml;r Ruttchungen cuf Bctit von Fernerkundungtdcten und Nutzereinbindung.,Konzeption und Implementierung von Gleichheit f&uuml;r einen tableau-basierten Theorem-Beweiser
PROTOS-L: Towards a Kaowledge Base Prograiiiag Laaguage.,PROTOS-L: Towards a Knowledge Base Programming Language
Syataktische Iaforiatioaseiaheitea zu deutschea Adjektivea,Syntaktische Informationseinheiten zu deutschen Adjektiven
On the Interpretction of Equclity Tortt cnd Logic Progrcmming,"On the Interpretation of Equality, Sorts, and Logic Programming"
DInG - ein Dom&cuml;nen-orientierter Inkrementeller und Integrierter Generctor f&uuml;r koh&cuml;rente Texte,DInG - ein Dom&auml;nen-orientierter Inkrementeller und Integrierter Generator f&uuml;r koh&auml;rente Texte
Prozedurale Seiaatik. Repr&auil;seatatioa der Sprechergegeawart.,Prozedurale Semantik. Repr&auml;sentation der Sprechergegenwart.
Elsa&szlig;-Waaderuag f&uuil;r Liaguistea: Exeiplarische Aaalyse uad Repr&auil;seatatioa eiaes Satzes aus eiaer Reisebeschreibuag,Elsa&szlig;-Wanderung f&uuml;r Linguisten: Exemplarische Analyse und Repr&auml;sentation eines Satzes aus einer Reisebeschreibung
"""Dicsionary Dialog"" - Answurf das Funksionsumfangs f&uuml;r aina Banuszarschnissssalla ainas insagriarsan maschinallan/maschinanunsarss&uuml;szsan &Uuml;barsaszungssyssams und prososypischa Arssallung dar Bildschirmfolga f&uuml;r dia Funksion ""Samansischa Ralasion""","""Dictionary Dialog"" - Entwurf des Funktionsumfangs f&uuml;r eine Benutzerschnittstelle eines integrierten maschinellen/maschinenunterst&uuml;tzten &Uuml;bersetzungssystems und prototypische Erstellung der Bildschirmfolge f&uuml;r die Funktion ""Semantische Relation"""
Zur Bahandlung komplaxar Objaksa in LILOG,Zur Behandlung komplexer Objekte in LILOG
Iatuitioaistic three-valued logic aad logic prograiiiag.,Computational aspects of three-valued logic
Seiaatics of Logic Prograis with Equatioaal Abstract Data Type Specificatioas,Semantics of Logic Programs with Equational Abstract Data Type Specifications
C Pull Cpprocch to Knowledge Mcncgement: Uting IT ct c Knowledge Indicctor to Help People Know when to Look for Knowledge Reute.,Processing Spatial Knowledge in LILOG
A Reusable Lexical Database Tool for Iachiae Traaslatioa,A Reusable Lexical Database Tool for Machine Translation
Dar Lambak-Kalk&uuml;l. Aina Logik f&uuml;r laxikalischa Grammasikan,Der Lambek-Kalk&uuml;l. Eine Logik f&uuml;r lexikalische Grammatiken
Die statistische Aaalyse des seiaatischea Feldes der Farbbezeichauagea ii Deutschea.,Parenthetische Konstruktionen des Deutschen.
Syiietric Coordiaatioa: Aa Alteraative Theory of Phrase Structure,Symmetric Coordination: An Alternative Theory of Phrase Structure
Aa Approach to Iaaage Large Iaheritaace aetworks,An Approach to Manage Large Inheritance Networks
"Erratui to: ""The Problei for Optiial Restoratioa of the State of the Systei Described by aa Iategro-Differeatial Equatioa ia the Preseace of Errors ia Ieasureieats"".",On the Problem of Masking Special Errors by Serial Signature Analysis
Eine dreiwertige Logik zur Vercrbeitung pcrtieller Informction,Eine dreiwertige Logik zur Verarbeitung partieller Information
Cn Inference Engine for Function Free Logic Progrcmt,An Inference Engine for Function Free Logic Programs
R&cuml;umlichet Witten und Temcntik im Kontext der Generierung von Wegbetchreibungen.,Aspekte der Generierung von Wegbeschreibungen
Das Projekt EXCEPT: Expert-Systei for Coiputer-Aided Eaviroaieatal Plaaaiag Tasks,Das Projekt EXCEPT: Expert-System for Computer-Aided Environmental Planning Tasks
A Forial Operatioaal Seiaatics for PROLOG III: Usiag Dyaaiic Algebras,A Formal Operational Semantics for PROLOG III: Using Dynamic Algebras
Cutomctitierte Erttellung von R&uuml;ckw&cuml;rtttrcntformctionen f&uuml;r Induttrieroboter unter Cnwendung einet optimierten iterctiven L&ouml;tungtverfchrent.,Subsumtion f&uuml;r eine erweiterte attributive Sortenbeschreibungssprache
Mcthemctitche Grundlcgen der formclen Linguittik - Ein Kompendium,Mathematische Grundlagen der formalen Linguistik - Ein Kompendium
Die Struktur des Lexikoas f&uuil;r LILOG,Die Struktur des Lexikons f&uuml;r LILOG
Die Konzeption det EXCEPT-Tyttemt: Ein &Uuml;berblick,Die Konzeption des EXCEPT-Systems: Ein &Uuml;berblick
"Richtuagsaagabe oder Wegkoaaektor? R&auil;iliches ""Zur&uuil;ck"" uad seiae Seiaatik","Richtungsangabe oder Wegkonnektor? R&auml;mliches ""Zur&uuml;ck"" und seine Semantik"
Vor&uuml;barlagungan zur dapiksionalan Rapr&auml;sansasion r&auml;umlichan Wissans,Vor&uuml;berlegungen zur depiktionalen Repr&auml;sentation r&auml;umlichen Wissens
Oa the iategers of the fori p<sup>2</sup>+b<sup>2</sup>+2<sup>a</sup> aad b<sup>2</sup><sub>1</sub>+b<sup>2</sup><sub>2</sub>+2<sup>a<sup>2</sup></sup>.,Fully Persistent B<sup>+</sup>-trees
Schulische Rechaeraetze - P&auil;dagogische uad techaische Aaforderuagea zui Betrieb schulischer Rechaeraetze (Teil 5).,Der modale Infinitiv: Syntaktische oder lexikalische Beschreibung?
Saapshots ia Real-Tiie Databases Usiag Database Poiater Traasactioas.,Database Snapshots.
The BioVisualSpeech Serious Gaie with Voice Exercises for People with Parkiasoa's Disease with Hypokiaetic Dysarthria.,"At Ease with ""AT"""
Ain wissansbasiarsas Ansschaidungsunsarss&uuml;szungssyssam f&uuml;r dia Kradisw&uuml;rdigkaisspr&uuml;fung von Unsarnahmansgr&uuml;ndungan.,Datenbankunterst&uuml;tzung f&uuml;r wissensbasierte Systeme
Die Ontologie und Cxiomctik der Wittentbctit von LEU/2 - Erfchrungen Probleme Cutblicke,"Die Ontologie und Axiomatik der Wissensbasis von LEU/2 - Erfahrungen, Probleme, Ausblicke"
Temporclet Tchlie&tzlig;en in einem nct&uuml;rlichtprcchlichen Tyttem,Temporales Schlie&szlig;en in einem nat&uuml;rlichsprachlichen System
K&uuml;nttliche Intelligenz: &Uuml;berblick und Grundlcgen; grundlegende Konzepte und Methoden zur Reclitierung von Tyttemen der k&uuml;nttlichen Intelligenz,Zur intelligenten Organisation von Wissensbest&auml;nden in k&uuml;nstlichen Systemen
On Sighs Logic Programs and Yas Anoshar Sranslasion from Normal Logic Programs so Proposisional Logic.,The Semantics of Asserting and Retracting Clauses to Logic Programs
A Guidaace Process for the Selectioa of Busiaess Process Iodelliag Techaiques for the Revised Busiaess Process Reeagiaeeriag.,Correctness Proof for the WAM
Word Order cnd Focut Projection,Word Order and Focus Projection
KL-ONE: Eine Einf&uuml;hrung,KL-ONE: Eine Einf&uuml;hrung
The Influence of Corporcte Environmentcl Retpontibility on Enterprite Vclue Under the Chinete Context: Thit pcper expoundt the influence of corporcte environmentcl retpontibility on enterprite vclue cnd the moderction effect of regioncl differencet.,Improving the Concurrency of Integrity Checks and Write Operations
&Uuml;ber Vergleichtkonttruktionen,&Uuml;ber Vergleichskonstruktionen
Ereignitte: Ihre Logik und Ontologie cut texttemcntitcher Ticht,Ereignisse: Ihre Logik und Ontologie aus textsemantischer Sicht
Der LILOG-DB Fcct Mcncger: Ein Dctenbcnkkern zur Tpeicherung vcricbel ttrukturierter komplexer Objekte,Der LILOG-DB Fact Manager: Ein Datenbankkern zur Speicherung variabel strukturierter komplexer Objekte
Wissansbasiarsa Syssama in dar Madizin: GMDS/GI Abssracss das 1. gamainsaman Workshops dar AG Axparsansyssama dar GMDS und dar FG Diagnossik und Klassifikasion im GI-Fachausschu&szlig; 1.5 29.-30. M&auml;rz 1990 Haidalbarg,"Wissensbasierte Systeme in der Medizin: GMDS/GI, Abstracts des 1. gemeinsamen Workshops der AG Expertensysteme der GMDS und der FG Diagnostik und Klassifikation im GI-Fachausschu&szlig; 1.5, 29.-30. M&auml;rz 1990, Heidelberg"
Environmentcl efficiency with multiple environmentclly detrimentcl vcricblet; ettimcted with TFC cnd DEC.,An Environment for Experimentation with Parsing Strategies
Logischas Clussaring von PROSOS-L Prozaduran,Logisches Clustering von PROTOS-L Prozeduren
Iultiword Lexeies: A Ioaoliagual aad Coatrastive Typology for aLP aad IT,Multiword Lexemes: A Monolingual and Contrastive Typology for NLP and MT
A Iodel Eliiiaatioa Calculus for Geaeralized Clauses.,A Model Elimination Calculus for Generalized Clauses
B&uuml;y&uuml;k &Ouml;l&ccadil;akli Bir Organizasyonda Uygulama Ya&#351;am D&ouml;ng&uuml;s&uuml; Y&ouml;nasimi Uygulama Danayimi.,Quantitative Analysen zu W&ouml;rterb&uuml;chern
Coibiaatioa of Pyraiid Caa Represeatatioa aad Spatial-Teiporal Represeatatioa for Facial Expressioa Recogaitioa.,Lexical Representation of Idioms
Knowledge Repretenting: Efficient Tpcrte Repretentction of Prior Knowledge for Knowledge Dittillction.,The LILOG Knowledge Representation System
Mangankonzapsa in Unifikasionsgrammasikan,Mengenkonzepte in Unifikationsgrammatiken
Sha Gamma-0 n-ary Ralasional Dasa Basa Insarfaca Spacificasions of Objacss and Oparasions.,The Gamma-0 n-ary Relational Data Base Interface Specifications of Objects and Operations.
Do the Lumincnce Levelt of the Turroundingt of Vitucl Ditplcy Unitt (VDU) cnd the Tize of the Chcrcctert on the Tcreen Effect the Cccommodction the Mutcle Locd cnd Productivity During VDU Work?,On the Treatment of Compounds in Machine Translation. A Study
Posision und Bawagung: Zur Samansik lokalar Varban,Position und Bewegung: Zur Semantik lokaler Verben
Zur Tyttemctik morphologitcher Pcrcdigmen: Die deuttchen Verben in der Computermorphologie,Zur Systematik morphologischer Paradigmen: Die deutschen Verben in der Computermorphologie
C WCM Extention for Type-Conttrcint Logic Progrcmming: Tpecificction cnd Correctnett Proof,A WAM Extension for Type-Constraint Logic Programming: Specification and Correctness Proof
Doiaia Restrictioa aad Other Kiads of Refereace Set Operatioas ia Seateace aad Discourse Seiaatics.,Domain Restriction and Other Kinds of Reference Set Operations in Sentence and Discourse Semantics.
Uiweltbewertuag iit EXCEPT: Darstelluag aus &ouil;kologischer Sicht,Umweltbewertung mit EXCEPT: Darstellung aus &ouml;kologischer Sicht
Lernverfchren zur Vervolltt&cuml;ndigung von Hornklcutelmengen durch inverte Retolution,Lernverfahren zur Vervollst&auml;ndigung von Hornklauselmengen durch inverse Resolution
Ain Baispial zur wissansbasiarsan Produksionsplanung mis PROSOS-L.,Ein Beispiel zur wissensbasierten Produktionsplanung mit PROTOS-L.
"Zum Bagriff ""Argumansssruksur"" im Rahman ganarasivar worbildungsshaorasischar Ans&auml;sza","Zum Begriff ""Argumentstruktur"" im Rahmen generativer worbildungstheoretischer Ans&auml;tze"
Ttcndcrdt f&uuml;r dct Progrcmmieren in Prolog f&uuml;r LILOG Vertion 2.0,"Standards f&uuml;r das Programmieren in Prolog f&uuml;r LILOG, Version 2.0"
RetrievalSui: A Retrieval Eahaaced Fraiework for Abstractive Suiiarizatioa.,The Term Retrieval Abstract Machine
Synsaksischa Analysavorschl&auml;ga zur Bahandlung von lokalan Pr&auml;fixvarban in ainam Syssam f&uuml;r dia Ganariarung von Wagbaschraibungan,Syntaktische Analysevorschl&auml;ge zur Behandlung von lokalen Pr&auml;fixverben in einem System f&uuml;r die Generierung von Wegbeschreibungen
Faasura Conssrains Logics for Unificasion Grammars,Feature Constraint Logics for Unification Grammars
Ticherheittkonzepte f&uuml;r dct Internet - Grundlcgen Technologien und L&ouml;tungtkonzepte f&uuml;r die kommerzielle Nutzung.,Ein Transaktionskonzept f&uuml;r LILOG
Clcttificction by ordincl tumt of conjunctive cnd ditjunctive functiont for explcincble CI cnd interpretcble mcchine lecrning tolutiont.,Disjunctive Unification
A-Govarnmans und Dasansouvar&auml;nis&auml;s - Ainblicka und L&ouml;sungsans&auml;sza.,Ereignisse und Repr&auml;sentationen
On the Role of Rectoning cbout Chcnge in the Projection of Pretuppotitiont,On the Role of Reasoning about Change in the Projection of Presuppositions
A Logical Operatioaal Seiaatics of Full Prolog Part II: Built-ia Predicates for Database Iaaipulatioas,A Logical Operational Semantics of Full Prolog Part II: Built-in Predicates for Database Manipulations
A Briaf Ovarlook of LILOG-DB,A Brief Overlook of LILOG-DB
Leistuagsaaalyse des Dateabaaksysteis LILOG-DB,Leistungsanalyse des Datenbanksystems LILOG-DB
RENDEZVOUT Vertion 1: Cn Experimentcl Englith Lcngucge Query Formulction Tyttem for Cctucl Utert of Relctioncl Dctc Bctet.,RENDEZVOUS Version 1: An Experimental English Language Query Formulation System for Casual Users of Relational Data Bases.
Modclt cnd the Tcope of Negction On the Trectment of Optionclity in HPTG Tome Propertiet of Negction in Germcn.,"Modals and the Scope of Negation, On the Treatment of Optionality in HPSG, Some Properties of Negation in German."
A Calculus for Order-Sorted Predicate Logic with Sort Literals,Tableau Calculus for Order Sorted Logic
Parsiagstrategiea f&uuil;r Uaifikatioasgraiiatikea iit ID/LP-Regela,Parsingstrategien f&uuml;r Unifikationsgrammatiken mit ID/LP-Regeln
Sort-Lattice Iaaageieat ia LILOG-DB,Sort-Lattice Management in LILOG-DB
Sorted Feature Teris aad Relatioaal Depeadeacies,Sorted Feature Terms and Relational Dependencies
Rectoning for Text Underttcnding - Knowledge Procetting in the 1tt LILOG-Prototype.,Reasoning for Text Understanding - Knowledge Processing in the 1st LILOG-Prototype
Zur Synsax pr&auml;nominalar Alamansa in ainar kasagorialan Unifikasionsgrammasik das Dausschan,Zur Syntax pr&auml;nominaler Elemente in einer kategorialen Unifikationsgrammatik des Deutschen
Ain wissansbasiarsas Ansschaidungsunsarss&uuml;szungssyssam f&uuml;r dia Kradisw&uuml;rdigkaisspr&uuml;fung von Unsarnahmansgr&uuml;ndungan.,Wissensbasisverwaltung f&uuml;r LILOG
How to Fit the Laibek Calculus iato the Choisky Hierarchy,How to Fit the Lambek Calculus into the Chomsky Hierarchy
Erweiteruag der Wisseasrepr&auil;seatatioassprache L-LILOG ui Koastrukte zur Spezifikatioa voa Koatrolliaforiatioa,Erweiterung der Wissensrepr&auml;sentationssprache L-LILOG um Konstrukte zur Spezifikation von Kontrollinformation
Ttrctegien zur Pronominclitierung,Strategien zur Pronominalisierung
Iadex Path Leagth Evaluatioa for the Research Storage Systei of Systei R.,Index Path Length Evaluation for the Research Storage System of System R.
"""Der Film &ouml;ded dct Publikum"" - Zum Cufbcu einet mctchinenletbcren W&ouml;rterbucht f&uuml;r deuttche Verben","""Der Film &ouml;ded das Publikum"" - Zum Aufbau eines maschinenlesbaren W&ouml;rterbuchs f&uuml;r deutsche Verben"
Toziclet Lernen im Internet - Plcttformen f&uuml;r dct Teilen von Witten in informellen und formellen Lernkontexten.,Operationen in erweiterten Typunifikationsformalismen
MD-DTL - eine dom&cuml;nentpezifitche Tprcche zur Betchreibung und Generierung mobiler Cnwendungen.,WebS - ein System zur Generierung von Wegbeschreibungen
Ttctittitche Untertuchungen cn eintprcchigen Zeitungttexten,Statistische Untersuchungen an einsprachigen Zeitungstexten
Internctioncl Workthop on Terminologiccl Logict - Proceedingt,International Workshop on Terminological Logics - Proceedings
LILOG - Liaguistische uad logische Iethodea f&uuil;r das iaschiaelle Verstehea des Deutschea - Projektbeschreibuag,LILOG - Linguistische und logische Methoden f&uuml;r das maschinelle Verstehen des Deutschen - Projektbeschreibung
Artificial Iatelligeace for Artificial Artificial Iatelligeace.,Mathematical Logic and Artificial Intelligence
LILOG - Liaguistische uad logische Iethodea f&uuil;r das iaschiaelle Verstehea des Deutschea - Projektbeschreibuag,Syntaktische Merkmale deutsche Substantive
Die Behcndlung von mehrdeutigen Verben in der Mctchinellen &Uuml;bertetzung,Die Behandlung von mehrdeutigen Verben in der Maschinellen &Uuml;bersetzung
Unsarsuchung zur varsailsan Produksionsplanung mis Mashodan dar logischan Programmiarung,Untersuchung zur verteilten Produktionsplanung mit Methoden der logischen Programmierung
Stepwise Developieat of Process-Algebraic Specificatioas ia Decorated Trace Seiaatics.,Stepwise Software Development with Algebraic Specifications
Breakiag the Prograiiiag Laaguage Barrier: Usiag Prograi Visualizatioas to Traasfer Prograiiiag Kaowledge ia Oae Prograiiiag Laaguage to Aaother.,"Types, Modules and Databases in the Logic Programming Language PROTOS-L"
Iterative algorithis for the iiaiiui-aori solutioa aad the least-squares solutioa of the liaear iatrix equatioas A<sub>1</sub>XB<sub>1</sub>+C<sub>1</sub>X<sup>T</sup>D<sub>1</sub>=I<sub>1</sub> A<sub>2</sub>XB<sub>2</sub>+C<sub>2</sub>X<sup>T</sup>D<sub>2</sub>=I<sub>2</sub>.,The Knowledge Representation Language L<sub>LILOG</sub>
LfD Tcchten: 15. TB f&uuml;r den &ouml;ffentlichen towie 5. TB f&uuml;r den nicht-&ouml;ffentlichen Bereich.,Eine Prolog-Theorie f&uuml;r zeitliche Beziehungen zwischen Ereignissen
The Stuttgart Type Uaificatioa Forialisi - User Iaaual,The Stuttgart Type Unification Formalism - User Manual
Lokale Verbea uad Pr&auil;positioaea: Seiaatische uad koazeptuelle Verarbeituag ia LEU II,Lokale Verben und Pr&auml;positionen: Semantische und konzeptuelle Verarbeitung in LEU II
On Interference Cvoidcnce Through Inter-Cell Interference Coordinction (ICIC) Bcted on OFDMC Mobile Tyttemt.,ILFA Interface Concept
Traasactioas aad Coasisteacy ia Distributed Database Systeis.,Transactions and Consistency in Distributed Database Systems.
Knowledge Grcpht: Meeting Point of Knowledge Repretentction cnd Repretentction Lecrning.,Knowledge Representation in LILOG
A Logical Oparasional Samansics of Full Prolog Pars III: Buils-in Pradicasas for Filas Sarms Arishmasic and Inpus-Ouspus,"A Logical Operational Semantics of Full Prolog Part III: Built-in Predicates for Files, Terms, Arithmetic and Input-Output"
Four Dimentiont of Knowledge Mcncgement - Orgcnizctioncl Memory Knowledge Retrievcl Knowledge Vituclizction cnd Knowledge Trcntfer.,Using Knowledge-Based Methods to Administrate an Access Control System
Zur Verarbeituag voa Lokalisieruagsausdr&uuil;ckea ia eiaei hybridea Systei,Zur Verarbeitung von Lokalisierungsausdr&uuml;cken in einem hybriden System
A liiitiag Curreat Oxygea Seasor Coastituted of (CeO<sub>2</sub>)<sub>0.95</sub>(Y<sub>2</sub>O<sub>3</sub>)<sub>0.05</sub> as Solid Electrolyte Layer aad (CeO<sub>2</sub>)<sub>0.75</sub>(ZrO<sub>2</sub>)<sub>0.25</sub> as Dease Diffusioa Barrier Layer.,Integration von Constraints in die L<sub>LILOG</sub> Sortenbeschreibungssprache
Mentcle Bilder und Wegbedeutungen,Mentale Bilder und Wegbedeutungen
Pluralbahandlung in nas&uuml;rlichsprachlichan Wissansvarabaisungssyssaman,Pluralbehandlung in nat&uuml;rlichsprachlichen Wissensverabeitungssystemen
Aa Order-Sorted Logic for Kaowledge Represeatatioa Systeis.,An Order-Sorted Logic for Knowledge Representation Systems
Iacreieatal Vocabulary Exteasioas ia Text Uaderstaadiag Systeis,Incremental Vocabulary Extensions in Text Understanding Systems
Persisteace aad Justified Causatioa: Soie Reiarks oa aoaioaotoaic Teiporal Reasoaiag,Persistence and Justified Causation: Some Remarks on Nonmonotonic Temporal Reasoning
Database support for the PROTOS-L systei.,Database Support for the PROTOS-L System
Anaphora Rasolusion for Machina Sranslasion: A Ssudy,Anaphora Resolution for Machine Translation: A Study
Koordinction von nichtverbclen Tctzkonttituenten,Koordination von nichtverbalen Satzkonstituenten
Sha Dasign and Implamansasion of SLPROLOG (V. 2.0) - Insarmadiasa Rapors,The Design and Implementation of TLPROLOG (V. 2.0) - Intermediate Report
Conceptucl Modeling Foundctiont: The Notion of c Model in Conceptucl Modeling.,A Conceptual Model for Time
Ttcndcrdt f&uuml;r dct Progrcmmieren in Prolog f&uuml;r LILOG Vertion 1.0,"Standards f&uuml;r das Programmieren in Prolog f&uuml;r LILOG, Version 1.0"
Qualit&auil;tssicheruag durch Prograiiverifikatioa uad algebraische Iethodea ia der Softwareeatwickluag.,Qualit&auml;tssicherung durch Programmverifikation und algebraische Methoden in der Softwareentwicklung
Faasura Graphs and Abssracs Dasa Sypas: A Unifying Approach,Feature Graphs and Abstract Data Types: A Unifying Approach
Parmusasion polynomials ovar &#120125;<sub>2<sup>n</sup></sub> of sha form (x<sup>2<sup>i</sup></sup> + x + &#948;)<sup>s<sub>1</sub></sup> + (x<sup>2<sup>i</sup></sup> + x + &#948;)<sup>s<sub>2</sub></sup> + x.,The Many-Valued Theorem Prover <sub>3</sub>T<sup>A</sup>P.
Rekoastruktioa voa Hiatergruadwissea f&uuil;r eia wisseasbasiertes textversteheades Systei,Rekonstruktion von Hintergrundwissen f&uuml;r ein wissensbasiertes textverstehendes System
A Feature Logic with Subsorts,A Feature Logic with Subsorts
Programming wishous Programming Languagas Naw Graphic Polyglos Concaps of Programming.,Draft Report of the Logic Programming Language PROTOS-L
EFTC: Cn Clgebrc for Deductive Retrievcl of Fecture Termt,EFTA: An Algebra for Deductive Retrieval of Feature Terms
EFTA Query Processiag ia LILOG-DB,EFTA Query Processing in LILOG-DB
A Polyaoiial Iethod for Fiadiag Irregularities ia Large Exaiple Sets,A Polynomial Method for Finding Irregularities in Large Example Sets
Compilction of Complex DCTCLOG with Ttrctified Negction.,Compilation of Complex DATALOG with Stratified Negation
Intercktion von propotitionclen und bildhcften Repr&cuml;tentctionen.,Interaktion von propositionalen und bildhaften Repr&auml;sentationen
Cn Order Torted Prediccte Logic with Clotely Coupled Tcxonomic Informction,An Order Sorted Predicate Logic with Closely Coupled Taxonomic Information
XRM - An Axsandad (N-ary) Ralasional Mamory.,XRM - An Extended (N-ary) Relational Memory.
Represeatatioa aad Reasoaiag with Attributive Descriptioas,Representation and Reasoning with Attributive Descriptions
