Randomized_String,Original_String
Ain praksischar Algorishmus f&uuml;r dia A-Unifikasion,Ein praktischer Algorithmus f&uuml;r die E-Unifikation
Timulction Tprcchlichen Verttehent: Generelle Probleme bei der temcntitchen Interpretction der nct&uuml;rlichen Tprcche,Simulation Sprachlichen Verstehens: Generelle Probleme bei der semantischen Interpretation der nat&uuml;rlichen Sprache
The Inttitute for Knowledge Bcted Tyttemt in the IBM Germcny Tcientific Center,The Institute for Knowledge Based Systems in the IBM Germany Scientific Center
Konzeption und Implementierung von Gleichheit f&uuml;r einen tcblecu-bctierten Theorem-Beweiter,Konzeption und Implementierung von Gleichheit f&uuml;r einen tableau-basierten Theorem-Beweiser
PROTOT-L: Towcrdt c Knowledge Bcte Progrcmming Lcngucge,PROTOS-L: Towards a Knowledge Base Programming Language
Tyntcktitche Informctionteinheiten zu deuttchen Cdjektiven,Syntaktische Informationseinheiten zu deutschen Adjektiven
On sha Insarprasasion of Aqualisy Sorss and Logic Programming,"On the Interpretation of Equality, Sorts, and Logic Programming"
DInG - ein Dom&cuml;nen-orientierter Inkrementeller und Integrierter Generctor f&uuml;r koh&cuml;rente Texte,DInG - ein Dom&auml;nen-orientierter Inkrementeller und Integrierter Generator f&uuml;r koh&auml;rente Texte
Prozadurala Samansik. Rapr&auml;sansasion dar Sprachargaganwars.,Prozedurale Semantik. Repr&auml;sentation der Sprechergegenwart.
Eltc&tzlig;-Wcnderung f&uuml;r Linguitten: Exemplcritche Cnclyte und Repr&cuml;tentction einet Tctzet cut einer Reitebetchreibung,Elsa&szlig;-Wanderung f&uuml;r Linguisten: Exemplarische Analyse und Repr&auml;sentation eines Satzes aus einer Reisebeschreibung
"""Dictioncry Diclog"" - Entwurf det Funktiontumfcngt f&uuml;r eine Benutzertchnittttelle einet integrierten mctchinellen/mctchinenuntertt&uuml;tzten &Uuml;bertetzungttyttemt und prototypitche Erttellung der Bildtchirmfolge f&uuml;r die Funktion ""Temcntitche Relction""","""Dictionary Dialog"" - Entwurf des Funktionsumfangs f&uuml;r eine Benutzerschnittstelle eines integrierten maschinellen/maschinenunterst&uuml;tzten &Uuml;bersetzungssystems und prototypische Erstellung der Bildschirmfolge f&uuml;r die Funktion ""Semantische Relation"""
Zur Behcndlung komplexer Objekte in LILOG,Zur Behandlung komplexer Objekte in LILOG
Computctioncl ctpectt of three-vclued logic,Computational aspects of three-valued logic
Seiaatics of Logic Prograis with Equatioaal Abstract Data Type Specificatioas,Semantics of Logic Programs with Equational Abstract Data Type Specifications
Procetting Tpcticl Knowledge in LILOG,Processing Spatial Knowledge in LILOG
A Rausabla Laxical Dasabasa Sool for Machina Sranslasion,A Reusable Lexical Database Tool for Machine Translation
Dar Lambak-Kalk&uuml;l. Aina Logik f&uuml;r laxikalischa Grammasikan,Der Lambek-Kalk&uuml;l. Eine Logik f&uuml;r lexikalische Grammatiken
Pcrenthetitche Konttruktionen det Deuttchen.,Parenthetische Konstruktionen des Deutschen.
Symmasric Coordinasion: An Alsarnasiva Shaory of Phrasa Ssrucsura,Symmetric Coordination: An Alternative Theory of Phrase Structure
An Approach so Managa Larga Inharisanca Nasworks,An Approach to Manage Large Inheritance Networks
On the Problem of Mctking Tpecicl Errort by Tericl Tigncture Cnclytit,On the Problem of Masking Special Errors by Serial Signature Analysis
Eiae dreiwertige Logik zur Verarbeituag partieller Iaforiatioa,Eine dreiwertige Logik zur Verarbeitung partieller Information
Aa Iafereace Eagiae for Fuactioa Free Logic Prograis,An Inference Engine for Function Free Logic Programs
Aspaksa dar Ganariarung von Wagbaschraibungan,Aspekte der Generierung von Wegbeschreibungen
Dct Projekt EXCEPT: Expert-Tyttem for Computer-Cided Environmentcl Plcnning Tctkt,Das Projekt EXCEPT: Expert-System for Computer-Aided Environmental Planning Tasks
A Forial Operatioaal Seiaatics for PROLOG III: Usiag Dyaaiic Algebras,A Formal Operational Semantics for PROLOG III: Using Dynamic Algebras
Tubtumtion f&uuml;r eine erweiterte cttributive Tortenbetchreibungttprcche,Subsumtion f&uuml;r eine erweiterte attributive Sortenbeschreibungssprache
Iatheiatische Gruadlagea der forialea Liaguistik - Eia Koipeadiui,Mathematische Grundlagen der formalen Linguistik - Ein Kompendium
Die Ttruktur det Lexikont f&uuml;r LILOG,Die Struktur des Lexikons f&uuml;r LILOG
Die Koazeptioa des EXCEPT-Systeis: Eia &Uuil;berblick,Die Konzeption des EXCEPT-Systems: Ein &Uuml;berblick
"Richtungtcngcbe oder Wegkonnektor? R&cuml;mlichet ""Zur&uuml;ck"" und teine Temcntik","Richtungsangabe oder Wegkonnektor? R&auml;mliches ""Zur&uuml;ck"" und seine Semantik"
Vor&uuil;berleguagea zur depiktioaalea Repr&auil;seatatioa r&auil;uilichea Wisseas,Vor&uuml;berlegungen zur depiktionalen Repr&auml;sentation r&auml;umlichen Wissens
Fully Persisteat B<sup>+</sup>-trees,Fully Persistent B<sup>+</sup>-trees
Dar modala Infinisiv: Synsaksischa odar laxikalischa Baschraibung?,Der modale Infinitiv: Syntaktische oder lexikalische Beschreibung?
Database Saapshots.,Database Snapshots.
"Ct Ecte with ""CT""","At Ease with ""AT"""
Dctenbcnkuntertt&uuml;tzung f&uuml;r wittentbctierte Tytteme,Datenbankunterst&uuml;tzung f&uuml;r wissensbasierte Systeme
Die Ontologie und Cxiomctik der Wittentbctit von LEU/2 - Erfchrungen Probleme Cutblicke,"Die Ontologie und Axiomatik der Wissensbasis von LEU/2 - Erfahrungen, Probleme, Ausblicke"
Samporalas Schlia&szlig;an in ainam nas&uuml;rlichsprachlichan Syssam,Temporales Schlie&szlig;en in einem nat&uuml;rlichsprachlichen System
Zur insalligansan Organisasion von Wissansbass&auml;ndan in k&uuml;nsslichan Syssaman,Zur intelligenten Organisation von Wissensbest&auml;nden in k&uuml;nstlichen Systemen
Sha Samansics of Assarsing and Rasracsing Clausas so Logic Programs,The Semantics of Asserting and Retracting Clauses to Logic Programs
Correctaess Proof for the WAI,Correctness Proof for the WAM
Word Order cnd Focut Projection,Word Order and Focus Projection
KL-ONE: Eine Einf&uuml;hrung,KL-ONE: Eine Einf&uuml;hrung
Improving the Concurrency of Integrity Checkt cnd Write Operctiont,Improving the Concurrency of Integrity Checks and Write Operations
&Uuml;ber Vergleichtkonttruktionen,&Uuml;ber Vergleichskonstruktionen
Araignissa: Ihra Logik und Onsologia aus saxssamansischar Sichs,Ereignisse: Ihre Logik und Ontologie aus textsemantischer Sicht
Dar LILOG-DB Facs Managar: Ain Dasanbankkarn zur Spaicharung variabal ssruksuriarsar komplaxar Objaksa,Der LILOG-DB Fact Manager: Ein Datenbankkern zur Speicherung variabel strukturierter komplexer Objekte
Wisseasbasierte Systeie ia der Iedizia: GIDS/GI Abstracts des 1. geieiasaiea Workshops der AG Experteasysteie der GIDS uad der FG Diagaostik uad Klassifikatioa ii GI-Fachausschu&szlig; 1.5 29.-30. I&auil;rz 1990 Heidelberg,"Wissensbasierte Systeme in der Medizin: GMDS/GI, Abstracts des 1. gemeinsamen Workshops der AG Expertensysteme der GMDS und der FG Diagnostik und Klassifikation im GI-Fachausschu&szlig; 1.5, 29.-30. M&auml;rz 1990, Heidelberg"
Cn Environment for Experimentction with Pcrting Ttrctegiet,An Environment for Experimentation with Parsing Strategies
Logisches Clusteriag voa PROTOS-L Prozedurea,Logisches Clustering von PROTOS-L Prozeduren
Multiword Lexemet: C Monolingucl cnd Contrcttive Typology for NLP cnd MT,Multiword Lexemes: A Monolingual and Contrastive Typology for NLP and MT
A Iodel Eliiiaatioa Calculus for Geaeralized Clauses,A Model Elimination Calculus for Generalized Clauses
Qucntitctive Cnclyten zu W&ouml;rterb&uuml;chern,Quantitative Analysen zu W&ouml;rterb&uuml;chern
Lexiccl Repretentction of Idiomt,Lexical Representation of Idioms
Sha LILOG Knowladga Raprasansasion Syssam,The LILOG Knowledge Representation System
Ieageakoazepte ia Uaifikatioasgraiiatikea,Mengenkonzepte in Unifikationsgrammatiken
The Gcmmc-0 n-cry Relctioncl Dctc Bcte Interfcce Tpecificctiont of Objectt cnd Operctiont.,The Gamma-0 n-ary Relational Data Base Interface Specifications of Objects and Operations.
Oa the Treatieat of Coipouads ia Iachiae Traaslatioa. A Study,On the Treatment of Compounds in Machine Translation. A Study
Positioa uad Beweguag: Zur Seiaatik lokaler Verbea,Position und Bewegung: Zur Semantik lokaler Verben
Zur Tyttemctik morphologitcher Pcrcdigmen: Die deuttchen Verben in der Computermorphologie,Zur Systematik morphologischer Paradigmen: Die deutschen Verben in der Computermorphologie
A WAM Axsansion for Sypa-Conssrains Logic Programming: Spacificasion and Corracsnass Proof,A WAM Extension for Type-Constraint Logic Programming: Specification and Correctness Proof
Domcin Rettriction cnd Other Kindt of Reference Tet Operctiont in Tentence cnd Ditcourte Temcntict.,Domain Restriction and Other Kinds of Reference Set Operations in Sentence and Discourse Semantics.
Uiweltbewertuag iit EXCEPT: Darstelluag aus &ouil;kologischer Sicht,Umweltbewertung mit EXCEPT: Darstellung aus &ouml;kologischer Sicht
Larnvarfahran zur Varvollss&auml;ndigung von Hornklausalmangan durch invarsa Rasolusion,Lernverfahren zur Vervollst&auml;ndigung von Hornklauselmengen durch inverse Resolution
Ein Beitpiel zur wittentbctierten Produktiontplcnung mit PROTOT-L.,Ein Beispiel zur wissensbasierten Produktionsplanung mit PROTOS-L.
"Zui Begriff ""Arguieatstruktur"" ii Rahiea geaerativer worbilduagstheoretischer Aas&auil;tze","Zum Begriff ""Argumentstruktur"" im Rahmen generativer worbildungstheoretischer Ans&auml;tze"
Ttcndcrdt f&uuml;r dct Progrcmmieren in Prolog f&uuml;r LILOG Vertion 2.0,"Standards f&uuml;r das Programmieren in Prolog f&uuml;r LILOG, Version 2.0"
Sha Sarm Rasriaval Abssracs Machina,The Term Retrieval Abstract Machine
Syataktische Aaalysevorschl&auil;ge zur Behaadluag voa lokalea Pr&auil;fixverbea ia eiaei Systei f&uuil;r die Geaerieruag voa Wegbeschreibuagea,Syntaktische Analysevorschl&auml;ge zur Behandlung von lokalen Pr&auml;fixverben in einem System f&uuml;r die Generierung von Wegbeschreibungen
Faasura Conssrains Logics for Unificasion Grammars,Feature Constraint Logics for Unification Grammars
Ain Sransaksionskonzaps f&uuml;r LILOG,Ein Transaktionskonzept f&uuml;r LILOG
Disjuncsiva Unificasion,Disjunctive Unification
Ereigaisse uad Repr&auil;seatatioaea,Ereignisse und Repr&auml;sentationen
On sha Rola of Raasoning abous Changa in sha Projacsion of Prasupposisions,On the Role of Reasoning about Change in the Projection of Presuppositions
A Logical Oparasional Samansics of Full Prolog Pars II: Buils-in Pradicasas for Dasabasa Manipulasions,A Logical Operational Semantics of Full Prolog Part II: Built-in Predicates for Database Manipulations
A Briaf Ovarlook of LILOG-DB,A Brief Overlook of LILOG-DB
Laissungsanalysa das Dasanbanksyssams LILOG-DB,Leistungsanalyse des Datenbanksystems LILOG-DB
RENDEZVOUT Vertion 1: Cn Experimentcl Englith Lcngucge Query Formulction Tyttem for Cctucl Utert of Relctioncl Dctc Bctet.,RENDEZVOUS Version 1: An Experimental English Language Query Formulation System for Casual Users of Relational Data Bases.
Iodals aad the Scope of aegatioa Oa the Treatieat of Optioaality ia HPSG Soie Properties of aegatioa ia Geriaa.,"Modals and the Scope of Negation, On the Treatment of Optionality in HPSG, Some Properties of Negation in German."
Sablaau Calculus for Ordar Sorsad Logic,Tableau Calculus for Order Sorted Logic
Parsiagstrategiea f&uuil;r Uaifikatioasgraiiatikea iit ID/LP-Regela,Parsingstrategien f&uuml;r Unifikationsgrammatiken mit ID/LP-Regeln
Tort-Lcttice Mcncgement in LILOG-DB,Sort-Lattice Management in LILOG-DB
Feature Eagiaeered Relatioa Extractioa - Iedical Docuieats Settiag.,Sorted Feature Terms and Relational Dependencies
Raasoning for Saxs Undarssanding - Knowladga Procassing in sha 1ss LILOG-Prososypa,Reasoning for Text Understanding - Knowledge Processing in the 1st LILOG-Prototype
Zur Tyntcx pr&cuml;nomincler Elemente in einer kctegoriclen Unifikctiontgrcmmctik det Deuttchen,Zur Syntax pr&auml;nominaler Elemente in einer kategorialen Unifikationsgrammatik des Deutschen
Wittentbctitverwcltung f&uuml;r LILOG,Wissensbasisverwaltung f&uuml;r LILOG
How to Fit the Lcmbek Cclculut into the Chomtky Hiercrchy,How to Fit the Lambek Calculus into the Chomsky Hierarchy
Erweiteruag der Wisseasrepr&auil;seatatioassprache L-LILOG ui Koastrukte zur Spezifikatioa voa Koatrolliaforiatioa,Erweiterung der Wissensrepr&auml;sentationssprache L-LILOG um Konstrukte zur Spezifikation von Kontrollinformation
Ssrasagian zur Pronominalisiarung,Strategien zur Pronominalisierung
Index Pcth Length Evcluction for the Retecrch Ttorcge Tyttem of Tyttem R.,Index Path Length Evaluation for the Research Storage System of System R.
"""Der Film &ouml;ded dct Publikum"" - Zum Cufbcu einet mctchinenletbcren W&ouml;rterbucht f&uuml;r deuttche Verben","""Der Film &ouml;ded das Publikum"" - Zum Aufbau eines maschinenlesbaren W&ouml;rterbuchs f&uuml;r deutsche Verben"
Oparasionan in arwaisarsan Sypunifikasionsformalisman,Operationen in erweiterten Typunifikationsformalismen
WabS - ain Syssam zur Ganariarung von Wagbaschraibungan,WebS - ein System zur Generierung von Wegbeschreibungen
Ssasissischa Unsarsuchungan an ainsprachigan Zaisungssaxsan,Statistische Untersuchungen an einsprachigen Zeitungstexten
Internctioncl Workthop on Terminologiccl Logict - Proceedingt,International Workshop on Terminological Logics - Proceedings
LILOG - Liaguistische uad logische Iethodea f&uuil;r das iaschiaelle Verstehea des Deutschea - Projektbeschreibuag,LILOG - Linguistische und logische Methoden f&uuml;r das maschinelle Verstehen des Deutschen - Projektbeschreibung
Mcthemcticcl Logic cnd Crtificicl Intelligence,Mathematical Logic and Artificial Intelligence
Tyntcktitche Merkmcle deuttche Tubttcntive,Syntaktische Merkmale deutsche Substantive
Die Behcndlung von mehrdeutigen Verben in der Mctchinellen &Uuml;bertetzung,Die Behandlung von mehrdeutigen Verben in der Maschinellen &Uuml;bersetzung
Unsarsuchung zur varsailsan Produksionsplanung mis Mashodan dar logischan Programmiarung,Untersuchung zur verteilten Produktionsplanung mit Methoden der logischen Programmierung
Stepwise Software Developieat with Algebraic Specificatioas,Stepwise Software Development with Algebraic Specifications
Typet Modulet cnd Dctcbctet in the Logic Progrcmming Lcngucge PROTOT-L,"Types, Modules and Databases in the Logic Programming Language PROTOS-L"
The Kaowledge Represeatatioa Laaguage L<sub>LILOG</sub>,The Knowledge Representation Language L<sub>LILOG</sub>
Aina Prolog-Shaoria f&uuml;r zaislicha Baziahungan zwischan Araignissan,Eine Prolog-Theorie f&uuml;r zeitliche Beziehungen zwischen Ereignissen
The Ttuttgcrt Type Unificction Formclitm - Uter Mcnucl,The Stuttgart Type Unification Formalism - User Manual
Lokcle Verben und Pr&cuml;potitionen: Temcntitche und konzeptuelle Vercrbeitung in LEU II,Lokale Verben und Pr&auml;positionen: Semantische und konzeptuelle Verarbeitung in LEU II
ILFA Iaterface Coacept,ILFA Interface Concept
Traasactioaal Coasisteacy ia a Replicated Database.,Transactions and Consistency in Distributed Database Systems.
Knowledge Repretentction in LILOG,Knowledge Representation in LILOG
A Logical Oparasional Samansics of Full Prolog Pars III: Buils-in Pradicasas for Filas Sarms Arishmasic and Inpus-Ouspus,"A Logical Operational Semantics of Full Prolog Part III: Built-in Predicates for Files, Terms, Arithmetic and Input-Output"
Uting Knowledge-Bcted Methodt to Cdminittrcte cn Cccett Control Tyttem,Using Knowledge-Based Methods to Administrate an Access Control System
Zur Verarbeituag voa Lokalisieruagsausdr&uuil;ckea ia eiaei hybridea Systei,Zur Verarbeitung von Lokalisierungsausdr&uuml;cken in einem hybriden System
Insagrasion von Conssrainss in dia L<sub>LILOG</sub> Sorsanbaschraibungsspracha,Integration von Constraints in die L<sub>LILOG</sub> Sortenbeschreibungssprache
Ieatale Bilder uad Wegbedeutuagea,Mentale Bilder und Wegbedeutungen
Plurclbehcndlung in nct&uuml;rlichtprcchlichen Wittentvercbeitungttyttemen,Pluralbehandlung in nat&uuml;rlichsprachlichen Wissensverabeitungssystemen
Cn Order-Torted Logic for Knowledge Repretentction Tyttemt,An Order-Sorted Logic for Knowledge Representation Systems
Iacreieatal Vocabulary Exteasioas ia Text Uaderstaadiag Systeis,Incremental Vocabulary Extensions in Text Understanding Systems
Persisteace aad Justified Causatioa: Soie Reiarks oa aoaioaotoaic Teiporal Reasoaiag,Persistence and Justified Causation: Some Remarks on Nonmonotonic Temporal Reasoning
Dctcbcte Tupport for the PROTOT-L Tyttem,Database Support for the PROTOS-L System
Aaaphora Resolutioa for Iachiae Traaslatioa: A Study,Anaphora Resolution for Machine Translation: A Study
Koordiaatioa voa aichtverbalea Satzkoastitueatea,Koordination von nichtverbalen Satzkonstituenten
The Desiga aad Iipleieatatioa of TLPROLOG (V. 2.0) - Iateriediate Report,The Design and Implementation of TLPROLOG (V. 2.0) - Intermediate Report
A Coaceptual Iodel for Tiie,A Conceptual Model for Time
Staadards f&uuil;r das Prograiiierea ia Prolog f&uuil;r LILOG Versioa 1.0,"Standards f&uuml;r das Programmieren in Prolog f&uuml;r LILOG, Version 1.0"
Quclit&cuml;ttticherung durch Progrcmmverifikction und clgebrcitche Methoden in der Toftwcreentwicklung,Qualit&auml;tssicherung durch Programmverifikation und algebraische Methoden in der Softwareentwicklung
Feature Graphs aad Abstract Data Types: A Uaifyiag Approach,Feature Graphs and Abstract Data Types: A Unifying Approach
The Iaay-Valued Theorei Prover <sub>3</sub>T<sup>A</sup>P.,The Many-Valued Theorem Prover <sub>3</sub>T<sup>A</sup>P.
Rekonttruktion von Hintergrundwitten f&uuml;r ein wittentbctiertet textverttehendet Tyttem,Rekonstruktion von Hintergrundwissen f&uuml;r ein wissensbasiertes textverstehendes System
A Feature Logic with Subsorts,A Feature Logic with Subsorts
Drafs Rapors of sha Logic Programming Languaga PROSOS-L,Draft Report of the Logic Programming Language PROTOS-L
EFTC: C Dctcbcte Retrievcl Clgebrc for Fecture Termt,EFTA: An Algebra for Deductive Retrieval of Feature Terms
EFTC Query Procetting in LILOG-DB,EFTA Query Processing in LILOG-DB
C Polynomicl Method for Finding Irregulcritiet in Lcrge Excmple Tett,A Polynomial Method for Finding Irregularities in Large Example Sets
Compilasion of Complax DASALOG wish Ssrasifiad Nagasion,Compilation of Complex DATALOG with Stratified Negation
Intercktion von propotitionclen und bildhcften Repr&cuml;tentctionen,Interaktion von propositionalen und bildhaften Repr&auml;sentationen
Aa Order Sorted Predicate Logic with Closely Coupled Taxoaoiic Iaforiatioa,An Order Sorted Predicate Logic with Closely Coupled Taxonomic Information
XRM - An Axsandad (N-ary) Ralasional Mamory.,XRM - An Extended (N-ary) Relational Memory.
Represeatatioa aad Reasoaiag with Attributive Descriptioas,Representation and Reasoning with Attributive Descriptions
Uatersuchuagea zui Gruadwortschatz,Untersuchungen zum Grundwortschatz
Ain modularar Ansasz f&uuml;r prinzipianbasiarsas Parsing,Ein modularer Ansatz f&uuml;r prinzipienbasiertes Parsing
Qucntifikction Plurcl Ereignitte und ihre Crgumente in einer mehrtortigen Tprcche der Pr&cuml;dikctenlogik ertter Ttufe,"Quantifikation, Plural, Ereignisse und ihre Argumente in einer mehrsortigen Sprache der Pr&auml;dikatenlogik erster Stufe"
OSKAR - A PROLOG Programm for Modalling Dimansional Dasignasion and Posisional Variasion of Objacss in Spaca,OSKAR - A PROLOG Programm for Modelling Dimensional Designation and Positional Variation of Objects in Space
Exteadiag the Warrea Abstract Iachiae to Polyiorphic Order-Sorted Resolutioa,Extending the Warren Abstract Machine to Polymorphic Order-Sorted Resolution
Textuaderstaadiag ia LILOG - Sorts aad Refereace Objects,Textunderstanding in LILOG - Sorts and Reference Objects
SQL/Data Systei Coapects aad Facilities.,"SQL/Data System, Conpects and Facilities."
Derivatioasiorphologie ia eiaei &Uuil;bersetzuagssystei,Derivationsmorphologie in einem &Uuml;bersetzungssystem
Prozadurala Aspaksa dar Wagplanung und Wagbaschraibung,Prozedurale Aspekte der Wegplanung und Wegbeschreibung
"Projekt ""Elektronitche W&ouml;rterb&uuml;cher/Lexikc"": Cbtchlu&tzlig;bericht der Definitiontphcte","Projekt ""Elektronische W&ouml;rterb&uuml;cher/Lexika"": Abschlu&szlig;bericht der Definitionsphase"
FLL: A Firss-Ordar Languaga for Daducsiva Rasriaval of Faasura Sarms,FLL: A First-Order Language for Deductive Retrieval of Feature Terms
Retolution with Fecture Unificction,Resolution with Feature Unification
Das Problam dar VP-Allipsan im Rahman ainar Shaoria dar Sachvarhalssanapharn,Das Problem der VP-Ellipsen im Rahmen einer Theorie der Sachverhaltsanaphern
Arssar AXCAPS-Workshop: Compusarunsarss&uuml;szsa Umwalsvarsr&auml;glichkaisspr&uuml;fung,Erster EXCEPT-Workshop: Computerunterst&uuml;tzte Umweltvertr&auml;glichkeitspr&uuml;fung
Konzeptuellet Detign einer mehrtprcchigen lexikclitchen Dctenbcnk f&uuml;r die mctchinelle &Uuml;bertetzung,Konzeptuelles Design einer mehrsprachigen lexikalischen Datenbank f&uuml;r die maschinelle &Uuml;bersetzung
C Cclculut for Order-Torted Prediccte Logic with Tort Literclt,A Calculus for Order-Sorted Predicate Logic with Sort Literals
Pertittente Dctentpeicherung in einer logitchen Progrcmmiertprcche mit relctionclen und deduktiven Dctenbcnken,Persistente Datenspeicherung in einer logischen Programmiersprache mit relationalen und deduktiven Datenbanken
Insagrasion ainas daduksivan Dasanbanksyssams in aina Logikprogrammiarspracha,Integration eines deduktiven Datenbanksystems in eine Logikprogrammiersprache
Oa Subsuiptioa aad Seiiuaifactioa ia Feature Algebras,On Subsumption and Semiunifaction in Feature Algebras
C Knowledge Level Cnclytit of Belief Revition,A Knowledge Level Analysis of Belief Revision
Cn Effective Repretentction of Complex Clcutet in c Relctioncl Dctcbcte,An Effective Representation of Complex Clauses in a Relational Database
Prolog aad aatural Laaguage Processiag,Prolog and Natural Language Processing
An Anaphora Rasolusion Procadura for Machina Sranslasion,An Anaphora Resolution Procedure for Machine Translation
Ncturcl Lcngucge Underttcnding in LILOG: Cn Intermedicte Overview,Natural Language Understanding in LILOG: An Intermediate Overview
Vercrbeitung von Vcgheitt- und Unticherheittbewertungen: Toolt f&uuml;r dct Tetten von Cnt&cuml;tzen f&uuml;r die Unifikction und die Logikbehcndlung von mit Unticherheit und Vcgheit bewerteten Grcphen im L-LILOG-TTUF-Grcphenkonzept,Verarbeitung von Vagheits- und Unsicherheitsbewertungen: Tools f&uuml;r das Testen von Ans&auml;tzen f&uuml;r die Unifikation und die Logikbehandlung von mit Unsicherheit und Vagheit bewerteten Graphen im L-LILOG-STUF-Graphenkonzept
Modaling Ssrucsurad Opan Worlds in a Dasabasa Syssam: Sha FLL-Approach,Modeling Structured Open Worlds in a Database System: The FLL-Approach
